# water_quality.csv
# Mirror Lake - Monthly Water Quality Data
# Columns:
#   year: Year of measurement (integer, YYYY)
#   month: Month of measurement (integer, 5-10)
#   sample_date: Date of measurement (YYYY-MM-DD)
#   station: Sampling station (character: deep_hole or littoral)
#   secchi_depth_m: Secchi disk depth in meters
#   total_phosphorus_ug_l: Total phosphorus concentration in micrograms per liter
#   total_nitrogen_mg_l: Total nitrogen concentration in milligrams per liter
#   surface_do_mg_l: Surface dissolved oxygen in milligrams per liter
#   bottom_do_mg_l: Bottom dissolved oxygen in milligrams per liter; NA if lake not stratified
#   chlorophyll_a_ug_l: Chlorophyll-a concentration in micrograms per liter; NA if not measured
#   surface_temp_c: Surface water temperature in degrees Celsius
# Units: depth in m, TP in ug/L, TN in mg/L, DO in mg/L, chl-a in ug/L, temp in C
# Missing values coded as NA
year,month,sample_date,station,secchi_depth_m,total_phosphorus_ug_l,total_nitrogen_mg_l,surface_do_mg_l,bottom_do_mg_l,chlorophyll_a_ug_l,surface_temp_c
2013,6,2013-06-14,deep_hole,2.8,31,0.87,7.7,NA,13.5,15.0
2013,6,2013-06-14,littoral,1.6,34,0.94,7.8,NA,18.3,17.9
2013,7,2013-07-18,deep_hole,2.7,35,0.87,7.2,3.8,19.9,20.5
2013,7,2013-07-18,littoral,2.8,35,0.78,8.3,NA,14.2,20.8
2013,8,2013-08-11,deep_hole,2.4,32,0.86,8.1,2.8,14.2,23.3
2013,8,2013-08-11,littoral,2.0,32,0.99,7.3,NA,15.2,26.1
2013,9,2013-09-21,deep_hole,2.7,40,1.01,7.4,3.0,14.6,26.4
2013,9,2013-09-21,littoral,2.3,35,0.93,7.5,NA,18.0,28.4
2013,10,2013-10-17,deep_hole,2.8,35,0.95,7.7,NA,9.8,31.0
2013,10,2013-10-17,littoral,2.3,34,0.97,8.0,NA,18.4,32.0
2014,5,2014-05-20,deep_hole,2.4,34,0.88,8.5,NA,14.4,11.5
2014,5,2014-05-20,littoral,1.8,39,0.98,8.6,NA,15.2,12.6
2014,6,2014-06-20,deep_hole,1.9,35,1.04,9.0,NA,NA,16.5
2014,6,2014-06-20,littoral,2.2,35,1.03,7.4,NA,15.9,15.4
2014,7,2014-07-24,deep_hole,2.0,38,0.82,7.8,2.4,NA,20.0
2014,7,2014-07-24,littoral,2.4,40,0.95,7.6,NA,NA,19.0
2014,8,2014-08-15,deep_hole,1.9,45,1.05,7.7,2.8,9.9,23.3
2014,8,2014-08-15,littoral,2.4,37,0.9,7.9,NA,11.3,24.9
2014,9,2014-09-14,deep_hole,2.3,51,0.89,7.6,3.3,11.5,29.3
2014,9,2014-09-14,littoral,2.8,41,1.07,8.2,NA,12.6,27.3
2014,10,2014-10-21,deep_hole,2.3,40,0.79,6.5,NA,16.1,31.4
2014,10,2014-10-21,littoral,2.4,44,0.82,7.3,NA,12.5,31.5
2015,5,2015-05-23,deep_hole,2.2,36,0.96,8.6,NA,18.6,12.6
2015,5,2015-05-23,littoral,1.9,46,1.04,8.4,NA,17.3,14.6
2015,6,2015-06-16,deep_hole,2.6,33,0.97,8.6,NA,13.0,15.5
2015,6,2015-06-16,littoral,2.2,41,0.62,8.2,NA,17.8,15.8
2015,7,2015-07-13,deep_hole,2.5,46,1.04,7.0,1.6,15.8,19.6
2015,7,2015-07-13,littoral,2.3,38,0.99,7.9,NA,14.0,18.8
2015,8,2015-08-18,deep_hole,2.3,39,0.81,7.7,1.9,24.8,25.0
2015,8,2015-08-18,littoral,2.6,35,1.16,7.3,NA,18.0,23.1
2015,9,2015-09-13,deep_hole,2.2,35,0.93,7.7,1.2,13.2,26.3
2015,9,2015-09-13,littoral,2.2,42,1.02,7.6,NA,14.7,26.9
2015,10,2015-10-22,deep_hole,2.5,41,1.11,7.1,NA,14.7,33.0
2015,10,2015-10-22,littoral,2.4,34,1.16,8.0,NA,13.1,31.6
2016,5,2016-05-15,deep_hole,2.0,46,0.92,8.8,NA,16.0,12.4
2016,5,2016-05-15,littoral,2.3,40,1.04,8.0,NA,13.1,11.9
2016,6,2016-06-17,deep_hole,3.0,45,1.07,8.0,NA,14.6,16.6
2016,6,2016-06-17,littoral,1.6,43,1.08,7.8,NA,20.9,16.1
2016,7,2016-07-15,deep_hole,2.1,37,0.94,8.0,3.0,16.7,19.6
2016,7,2016-07-15,littoral,2.0,40,1.1,7.8,NA,16.2,19.3
2016,8,2016-08-20,deep_hole,2.2,40,1.0,7.1,2.4,14.9,22.5
2016,8,2016-08-20,littoral,2.5,44,0.97,7.8,NA,13.5,24.1
2016,9,2016-09-22,deep_hole,2.4,41,0.97,6.6,0.6,20.1,30.3
2016,9,2016-09-22,littoral,2.3,47,1.09,7.0,NA,17.8,29.4
2016,10,2016-10-22,deep_hole,2.2,42,1.02,7.2,NA,12.5,32.8
2016,10,2016-10-22,littoral,1.9,48,0.98,7.4,NA,13.5,31.5
2017,5,2017-05-25,deep_hole,1.7,37,1.03,8.4,NA,NA,10.2
2017,5,2017-05-25,littoral,2.1,32,1.04,8.5,NA,14.8,11.1
2017,6,2017-06-15,deep_hole,2.4,47,0.86,8.3,NA,21.1,14.1
2017,6,2017-06-15,littoral,1.9,50,1.06,8.3,NA,25.0,16.0
2017,7,2017-07-18,deep_hole,2.2,39,1.04,8.3,3.9,20.9,19.9
2017,7,2017-07-18,littoral,1.9,44,1.06,7.3,NA,16.8,21.3
2017,8,2017-08-10,deep_hole,2.3,41,1.18,7.5,2.2,22.5,24.6
2017,8,2017-08-10,littoral,2.0,55,1.1,7.1,NA,17.0,23.7
2017,9,2017-09-20,deep_hole,1.8,34,0.94,7.1,2.2,18.9,26.5
2017,9,2017-09-20,littoral,2.3,60,1.18,6.7,NA,18.1,27.7
2017,10,2017-10-16,deep_hole,2.5,36,0.89,7.6,NA,17.5,31.5
2017,10,2017-10-16,littoral,2.2,46,0.99,7.9,NA,26.5,30.0
2018,5,2018-05-20,deep_hole,1.8,50,1.17,8.2,NA,22.3,13.0
2018,5,2018-05-20,littoral,2.4,45,1.19,8.4,NA,21.9,12.7
2018,6,2018-06-15,deep_hole,2.1,47,1.12,7.4,NA,20.4,17.7
2018,6,2018-06-15,littoral,1.5,43,1.08,7.9,NA,19.7,16.3
2018,7,2018-07-13,deep_hole,1.8,41,0.99,7.6,2.5,16.8,19.2
2018,7,2018-07-13,littoral,1.6,53,1.16,8.5,NA,13.0,19.8
2018,8,2018-08-22,deep_hole,1.8,49,1.02,8.6,2.0,24.9,24.5
2018,8,2018-08-22,littoral,2.5,49,1.07,7.9,NA,NA,24.4
2018,9,2018-09-11,deep_hole,2.4,48,1.06,7.7,1.1,22.6,29.2
2018,9,2018-09-11,littoral,2.0,47,0.87,7.7,NA,17.7,27.9
2018,10,2018-10-18,deep_hole,1.9,47,0.97,6.7,NA,18.3,32.2
2018,10,2018-10-18,littoral,1.4,51,1.36,7.0,NA,20.4,32.4
2019,5,2019-05-23,deep_hole,2.3,56,1.28,8.5,NA,NA,11.2
2019,5,2019-05-23,littoral,2.2,52,1.24,8.7,NA,22.4,12.9
2019,6,2019-06-19,deep_hole,2.0,52,1.2,8.3,NA,22.9,16.8
2019,6,2019-06-19,littoral,2.1,41,1.09,8.6,NA,18.9,16.6
2019,7,2019-07-23,deep_hole,1.2,41,0.91,8.1,2.5,25.1,20.9
2019,7,2019-07-23,littoral,2.1,46,0.93,7.6,NA,21.1,20.0
2019,8,2019-08-10,deep_hole,2.7,44,1.17,7.4,0.8,21.3,23.6
2019,8,2019-08-10,littoral,1.8,45,1.12,8.2,NA,25.8,22.3
2019,9,2019-09-16,deep_hole,1.8,46,1.11,6.9,1.3,16.7,27.8
2019,9,2019-09-16,littoral,2.0,37,1.09,6.7,NA,24.9,27.4
2019,10,2019-10-21,deep_hole,2.2,36,1.02,7.0,NA,21.1,32.0
2019,10,2019-10-21,littoral,1.9,51,1.02,7.2,NA,18.7,33.4
2020,5,2020-05-19,deep_hole,1.9,52,1.25,8.2,NA,12.9,11.5
2020,5,2020-05-19,littoral,2.3,46,1.13,8.3,NA,17.7,12.3
2020,6,2020-06-19,deep_hole,2.0,46,1.14,7.8,NA,23.3,16.1
2020,6,2020-06-19,littoral,1.2,46,1.12,8.5,NA,NA,18.0
2020,7,2020-07-21,deep_hole,1.5,51,1.04,8.5,2.6,18.7,17.5
2020,7,2020-07-21,littoral,1.9,51,1.06,7.5,NA,21.7,19.5
2020,8,2020-08-15,deep_hole,1.9,46,1.15,7.2,2.3,19.2,23.6
2020,8,2020-08-15,littoral,1.1,44,0.91,8.5,NA,19.7,24.6
2020,9,2020-09-12,deep_hole,1.8,56,1.08,8.2,0.8,22.4,28.2
2020,9,2020-09-12,littoral,2.0,52,1.17,7.9,NA,25.2,28.7
2020,10,2020-10-25,deep_hole,2.5,53,1.1,6.0,NA,22.7,31.6
2020,10,2020-10-25,littoral,1.8,48,1.21,7.2,NA,24.7,30.8
2021,5,2021-05-19,deep_hole,1.7,52,1.18,7.7,NA,21.0,13.0
2021,5,2021-05-19,littoral,2.1,43,1.05,7.8,NA,19.1,11.5
2021,6,2021-06-11,deep_hole,2.0,51,1.1,8.5,NA,21.9,17.2
2021,6,2021-06-11,littoral,1.8,61,1.22,8.6,NA,21.5,17.2
2021,7,2021-07-24,deep_hole,1.8,50,1.11,7.1,2.6,24.1,19.4
2021,7,2021-07-24,littoral,2.1,57,1.05,8.4,NA,22.9,19.4
2021,8,2021-08-19,deep_hole,1.7,60,1.25,8.2,2.7,25.9,25.1
2021,8,2021-08-19,littoral,1.7,53,1.24,7.7,NA,25.5,26.2
2021,9,2021-09-14,deep_hole,1.3,39,1.1,7.0,0.9,NA,30.2
2021,9,2021-09-14,littoral,1.8,49,0.98,7.0,NA,20.3,28.1
2021,10,2021-10-15,deep_hole,1.7,55,1.21,5.7,NA,22.7,32.8
2021,10,2021-10-15,littoral,1.7,52,1.1,6.4,NA,20.2,32.1
2022,5,2022-05-12,deep_hole,1.4,50,1.06,8.6,NA,NA,11.9
2022,5,2022-05-12,littoral,1.5,54,1.03,7.6,NA,25.4,11.2
2022,6,2022-06-25,deep_hole,1.4,45,1.31,8.7,NA,27.5,15.3
2022,6,2022-06-25,littoral,1.4,59,1.21,8.3,NA,22.1,16.2
2022,7,2022-07-11,deep_hole,1.5,51,1.15,8.1,2.7,21.5,19.5
2022,7,2022-07-11,littoral,1.6,56,1.21,8.3,NA,22.2,20.8
2022,8,2022-08-17,deep_hole,1.7,57,1.21,7.3,0.8,23.4,22.5
2022,8,2022-08-17,littoral,1.0,59,1.09,7.9,NA,22.2,22.0
2022,9,2022-09-20,deep_hole,1.6,47,0.84,7.0,0.5,24.5,27.9
2022,9,2022-09-20,littoral,1.8,54,1.09,7.7,NA,27.2,27.5
2022,10,2022-10-23,deep_hole,1.2,55,1.15,7.5,NA,23.7,30.6
2022,10,2022-10-23,littoral,1.3,52,1.09,8.2,NA,24.6,33.4
2023,5,2023-05-10,deep_hole,1.5,50,1.25,8.7,NA,25.8,11.6
2023,5,2023-05-10,littoral,0.9,64,1.32,8.8,NA,31.5,11.2
2023,6,2023-06-12,deep_hole,1.7,58,1.2,8.6,NA,NA,16.3
2023,6,2023-06-12,littoral,1.7,59,1.22,7.9,NA,25.8,15.7
2023,7,2023-07-25,deep_hole,1.5,54,1.2,8.1,1.5,22.2,20.2
2023,7,2023-07-25,littoral,1.4,54,1.11,7.5,NA,23.9,19.6
2023,8,2023-08-13,deep_hole,1.3,54,1.19,7.4,0.2,16.1,25.4
2023,8,2023-08-13,littoral,1.0,52,1.35,8.0,NA,31.0,23.0
2023,9,2023-09-17,deep_hole,1.5,70,1.15,6.5,0.2,24.6,27.6
2023,9,2023-09-17,littoral,1.4,58,1.01,6.5,NA,25.9,28.1
2023,10,2023-10-25,deep_hole,1.2,53,1.04,6.6,NA,25.6,32.0
2023,10,2023-10-25,littoral,1.6,62,1.22,6.6,NA,NA,29.9
2024,5,2024-05-11,deep_hole,1.4,51,1.14,8.2,NA,22.9,11.8
2024,5,2024-05-11,littoral,1.4,55,1.08,8.6,NA,29.7,11.8
2024,6,2024-06-18,deep_hole,1.2,65,1.35,8.0,NA,26.8,14.0
2024,6,2024-06-18,littoral,2.4,69,1.33,8.3,NA,21.2,15.1
2024,7,2024-07-20,deep_hole,1.5,64,1.17,8.4,0.8,21.4,21.9
2024,7,2024-07-20,littoral,2.0,47,1.18,8.0,NA,25.6,19.4
2024,8,2024-08-10,deep_hole,1.3,59,1.21,7.4,0.4,27.4,24.5
2024,8,2024-08-10,littoral,0.8,59,1.33,7.8,NA,NA,24.6
2024,9,2024-09-12,deep_hole,1.4,65,1.01,7.2,0.2,27.9,26.8
2024,9,2024-09-12,littoral,1.3,61,1.43,7.7,NA,29.8,28.3
2024,10,2024-10-13,deep_hole,1.6,66,1.03,7.1,NA,26.7,32.6
2024,10,2024-10-13,littoral,1.4,57,1.37,6.6,NA,NA,29.7
2025,5,2025-05-12,deep_hole,1.5,55,1.15,8.0,NA,28.9,11.8
2025,5,2025-05-12,littoral,1.2,60,1.14,8.8,NA,30.0,14.9
2025,6,2025-06-12,deep_hole,1.8,62,1.24,9.6,NA,30.2,16.7
2025,6,2025-06-12,littoral,0.8,55,1.16,8.0,NA,28.9,15.4
2025,7,2025-07-12,deep_hole,1.4,63,1.42,7.4,0.2,24.8,21.4
2025,7,2025-07-12,littoral,1.2,60,1.4,8.1,NA,26.8,19.5
2025,8,2025-08-19,deep_hole,1.6,58,1.32,6.7,1.6,27.3,25.1
2025,8,2025-08-19,littoral,1.4,63,1.14,7.3,NA,23.2,25.1
2025,9,2025-09-19,deep_hole,1.5,59,1.26,6.9,0.2,24.5,28.2
2025,9,2025-09-19,littoral,1.5,55,1.18,7.9,NA,23.8,27.3
2025,10,2025-10-23,deep_hole,1.1,61,1.15,6.5,NA,28.5,31.3
2025,10,2025-10-23,littoral,1.5,52,1.32,7.4,NA,29.2,32.4
