# stream_temperature.csv
# Elk Fork Creek - Daily Water Temperature from Two Monitoring Stations
# Columns:
#   date: Date of measurement (YYYY-MM-DD)
#   station: Station identifier (upstream or downstream)
#   daily_mean_temp_c: Daily mean water temperature in degrees Celsius
#   daily_max_temp_c: Daily maximum water temperature in degrees Celsius
# Units: temperature in Celsius
# Missing values coded as NA
# Temperature loggers deployed May through October each year
date,station,daily_mean_temp_c,daily_max_temp_c
2015-08-13,upstream,13.5,16.2
2015-08-14,upstream,15.2,17.5
2015-08-15,upstream,13.7,16.9
2015-08-16,upstream,15.1,17.3
2015-08-17,upstream,16.0,20.4
2015-08-18,upstream,14.0,17.2
2015-08-19,upstream,14.2,17.2
2015-08-20,upstream,15.4,18.4
2015-08-21,upstream,14.5,16.8
2015-08-22,upstream,12.9,17.1
2015-08-23,upstream,12.5,16.6
2015-08-24,upstream,12.9,16.8
2015-08-25,upstream,15.3,17.4
2015-08-26,upstream,10.9,13.9
2015-08-27,upstream,14.4,17.6
2015-08-28,upstream,13.9,15.5
2015-08-29,upstream,10.5,13.3
2015-08-30,upstream,12.8,15.3
2015-08-31,upstream,12.5,14.4
2015-09-01,upstream,12.6,15.2
2015-09-02,upstream,11.9,16.2
2015-09-03,upstream,11.8,16.2
2015-09-04,upstream,14.1,18.6
2015-09-05,upstream,14.6,17.1
2015-09-06,upstream,10.3,13.2
2015-09-07,upstream,12.1,14.7
2015-09-08,upstream,11.8,14.2
2015-09-09,upstream,12.1,15.2
2015-09-10,upstream,13.3,17.6
2015-09-11,upstream,10.9,13.8
2015-09-12,upstream,11.3,13.6
2015-09-13,upstream,11.0,15.0
2015-09-14,upstream,10.9,15.0
2015-09-15,upstream,11.2,13.2
2015-09-16,upstream,10.1,14.5
2015-09-17,upstream,9.1,11.7
2015-09-18,upstream,12.7,15.8
2015-09-19,upstream,9.0,12.1
2015-09-20,upstream,10.7,12.3
2015-09-21,upstream,11.6,13.1
2015-09-22,upstream,10.2,13.9
2015-09-23,upstream,11.1,14.0
2015-09-24,upstream,7.6,9.3
2015-09-25,upstream,9.0,11.7
2015-09-26,upstream,9.4,12.5
2015-09-27,upstream,8.7,10.7
2015-09-28,upstream,8.1,9.9
2015-09-29,upstream,7.2,8.8
2015-09-30,upstream,9.1,12.2
2015-10-01,upstream,8.7,12.9
2015-10-02,upstream,8.8,10.7
2015-10-03,upstream,6.9,11.1
2015-10-04,upstream,8.1,10.1
2015-10-05,upstream,7.3,8.8
2015-10-06,upstream,5.6,7.2
2015-10-07,upstream,7.6,9.1
2015-10-08,upstream,4.1,8.4
2015-10-09,upstream,5.6,8.0
2015-10-10,upstream,6.7,8.2
2015-10-11,upstream,6.5,8.8
2015-10-12,upstream,7.5,9.9
2015-10-13,upstream,4.7,8.3
2015-10-14,upstream,7.5,11.9
2015-10-15,upstream,5.6,7.3
2015-10-16,upstream,5.6,7.8
2015-10-17,upstream,NA,NA
2015-10-18,upstream,3.9,5.7
2015-10-19,upstream,4.9,9.3
2015-10-20,upstream,3.7,6.0
2015-10-21,upstream,1.0,3.5
2015-10-22,upstream,5.1,7.4
2015-10-23,upstream,4.3,7.2
2015-10-24,upstream,4.4,8.3
2015-10-25,upstream,3.7,6.2
2015-10-26,upstream,3.2,6.2
2015-10-27,upstream,4.9,9.3
2015-10-28,upstream,2.8,4.9
2015-10-29,upstream,2.7,6.7
2015-10-30,upstream,2.7,6.5
2015-10-31,upstream,5.4,9.4
2015-05-01,downstream,16.1,20.3
2015-05-02,downstream,13.7,16.2
2015-05-03,downstream,15.1,17.9
2015-05-04,downstream,18.4,20.7
2015-05-05,downstream,14.8,17.9
2015-05-06,downstream,15.0,18.4
2015-05-07,downstream,13.7,16.1
2015-05-08,downstream,17.6,21.6
2015-05-09,downstream,14.2,17.4
2015-05-10,downstream,15.7,18.7
2015-05-11,downstream,16.1,20.4
2015-05-12,downstream,NA,NA
2015-05-13,downstream,18.0,22.5
2015-05-14,downstream,19.9,23.4
2015-05-15,downstream,17.1,19.4
2015-05-16,downstream,16.0,18.6
2015-05-17,downstream,15.1,17.5
2015-05-18,downstream,16.6,19.5
2015-05-19,downstream,15.4,19.7
2015-05-20,downstream,18.1,22.1
2015-05-21,downstream,18.9,23.1
2015-05-22,downstream,18.3,20.8
2015-05-23,downstream,15.9,18.8
2015-05-24,downstream,18.0,19.8
2015-05-25,downstream,16.2,19.1
2015-05-26,downstream,17.2,20.5
2015-05-27,downstream,NA,NA
2015-05-28,downstream,17.8,21.8
2015-05-29,downstream,16.4,20.4
2015-05-30,downstream,16.9,19.2
2015-05-31,downstream,17.2,21.4
2015-06-01,downstream,17.0,20.1
2015-06-02,downstream,19.3,23.2
2015-06-03,downstream,19.5,23.3
2015-06-04,downstream,18.4,21.8
2015-06-05,downstream,17.2,20.7
2015-06-06,downstream,17.6,20.0
2015-06-07,downstream,23.1,26.9
2015-06-08,downstream,19.7,21.4
2015-06-09,downstream,21.0,22.7
2015-06-10,downstream,21.7,23.4
2015-06-11,downstream,19.0,22.0
2015-06-12,downstream,16.8,20.5
2015-06-13,downstream,18.8,22.0
2015-06-14,downstream,21.1,23.5
2015-06-15,downstream,18.4,20.9
2015-06-16,downstream,21.0,25.0
2015-06-17,downstream,22.1,24.6
2015-06-18,downstream,19.0,21.7
2015-06-19,downstream,20.5,22.4
2015-06-20,downstream,18.8,22.6
2015-06-21,downstream,18.7,20.9
2015-06-22,downstream,18.1,21.3
2015-06-23,downstream,19.4,23.9
2015-06-24,downstream,21.1,24.7
2015-06-25,downstream,21.1,23.8
2015-06-26,downstream,18.7,21.0
2015-06-27,downstream,19.4,21.0
2015-06-28,downstream,19.0,23.2
2015-06-29,downstream,18.9,21.9
2015-06-30,downstream,18.2,22.2
2015-07-01,downstream,19.0,21.4
2015-07-02,downstream,21.5,23.4
2015-07-03,downstream,17.5,19.8
2015-07-04,downstream,19.5,23.1
2015-07-05,downstream,19.0,23.2
2015-07-06,downstream,21.8,24.7
2015-07-07,downstream,21.9,26.0
2015-07-08,downstream,18.2,22.0
2015-07-09,downstream,19.1,22.9
2015-07-10,downstream,19.1,21.5
2015-07-11,downstream,19.2,21.7
2015-07-12,downstream,19.4,23.5
2015-07-13,downstream,21.0,24.9
2015-07-14,downstream,19.8,22.3
2015-07-15,downstream,19.0,22.5
2015-07-16,downstream,20.4,24.4
2015-07-17,downstream,NA,NA
2015-07-18,downstream,20.4,24.1
2015-07-19,downstream,21.6,23.6
2015-07-20,downstream,18.2,20.8
2015-07-21,downstream,18.0,20.3
2015-07-22,downstream,16.1,20.1
2015-07-23,downstream,18.9,22.8
2015-07-24,downstream,18.1,21.2
2015-07-25,downstream,17.9,20.6
2015-07-26,downstream,17.4,20.7
2015-07-27,downstream,19.6,23.9
2015-07-28,downstream,19.4,21.5
2015-07-29,downstream,17.5,21.3
2015-07-30,downstream,17.7,19.6
2015-07-31,downstream,19.9,22.2
2015-08-01,downstream,16.7,19.6
2015-08-02,downstream,17.2,19.0
2015-08-03,downstream,16.8,19.5
2015-08-04,downstream,17.0,20.5
2015-08-05,downstream,18.3,21.2
2015-08-06,downstream,18.3,20.9
2015-08-07,downstream,18.9,23.2
2015-08-08,downstream,16.5,19.7
2015-08-09,downstream,17.8,19.9
2015-08-10,downstream,16.7,20.1
2015-08-11,downstream,17.1,19.2
2015-08-12,downstream,17.0,20.7
2015-08-13,downstream,17.3,20.8
2015-08-14,downstream,14.4,16.4
2015-08-15,downstream,17.0,18.8
2015-08-16,downstream,17.0,20.9
2015-08-17,downstream,18.6,22.7
2015-08-18,downstream,14.8,19.1
2015-08-19,downstream,16.0,17.8
2015-08-20,downstream,14.3,17.5
2015-08-21,downstream,15.8,18.5
2015-08-22,downstream,16.5,19.6
2015-08-23,downstream,15.1,17.6
2015-08-24,downstream,15.2,18.6
2015-08-25,downstream,13.5,17.7
2015-08-26,downstream,16.2,17.9
2015-08-27,downstream,15.6,19.2
2015-08-28,downstream,14.8,16.8
2015-08-29,downstream,14.6,16.6
2015-08-30,downstream,15.1,18.5
2015-08-31,downstream,15.1,18.4
2015-09-01,downstream,13.6,15.1
2015-09-02,downstream,16.2,20.0
2015-09-03,downstream,13.4,16.3
2015-09-04,downstream,11.2,15.2
2015-09-05,downstream,12.9,15.4
2015-09-06,downstream,14.2,17.1
2015-09-07,downstream,13.9,16.8
2015-09-08,downstream,12.1,15.3
2015-09-09,downstream,11.9,14.2
2015-09-10,downstream,13.0,16.4
2015-09-11,downstream,11.1,14.5
2015-09-12,downstream,9.3,11.5
2015-09-13,downstream,11.9,13.9
2015-09-14,downstream,12.1,15.0
2015-09-15,downstream,14.7,17.0
2015-09-16,downstream,12.5,16.9
2015-09-17,downstream,12.4,16.0
2015-09-18,downstream,11.9,13.6
2015-09-19,downstream,10.7,13.7
2015-09-20,downstream,NA,NA
2015-09-21,downstream,14.4,17.7
2015-09-22,downstream,9.0,13.4
2015-09-23,downstream,12.8,14.9
2015-09-24,downstream,9.8,11.4
2015-09-25,downstream,10.8,12.7
2015-09-26,downstream,9.4,12.2
2015-09-27,downstream,13.2,16.5
2015-09-28,downstream,11.8,15.2
2015-09-29,downstream,8.2,12.1
2015-09-30,downstream,10.0,13.4
2015-10-01,downstream,10.2,14.0
2015-10-02,downstream,8.8,10.4
2015-10-03,downstream,10.3,11.9
2015-10-04,downstream,9.6,12.5
2015-10-05,downstream,8.2,11.7
2015-10-06,downstream,6.7,8.2
2015-10-07,downstream,7.6,9.1
2015-10-08,downstream,10.1,13.1
2015-10-09,downstream,6.9,10.1
2015-10-10,downstream,7.1,9.5
2015-10-11,downstream,6.8,8.5
2015-10-12,downstream,8.6,11.9
2015-10-13,downstream,8.0,10.9
2015-10-14,downstream,8.0,10.2
2015-10-15,downstream,7.2,9.2
2015-10-16,downstream,6.6,8.9
2015-10-17,downstream,5.9,8.1
2015-10-18,downstream,5.9,8.6
2015-10-19,downstream,5.5,8.2
2015-10-20,downstream,7.8,9.7
2015-10-21,downstream,7.1,10.6
2015-10-22,downstream,5.7,7.8
2015-10-23,downstream,6.4,8.5
2015-10-24,downstream,4.3,6.8
2015-10-25,downstream,4.4,8.1
2015-10-26,downstream,4.6,8.0
2015-10-27,downstream,6.1,9.5
2015-10-28,downstream,7.1,11.0
2015-10-29,downstream,5.4,8.3
2015-10-30,downstream,5.5,9.1
2015-10-31,downstream,5.1,8.3
2016-05-01,upstream,11.1,13.6
2016-05-02,upstream,13.9,18.0
2016-05-03,upstream,13.7,16.0
2016-05-04,upstream,13.6,17.3
2016-05-05,upstream,12.7,16.1
2016-05-06,upstream,16.5,20.1
2016-05-07,upstream,12.6,14.7
2016-05-08,upstream,14.4,17.1
2016-05-09,upstream,13.7,17.2
2016-05-10,upstream,15.1,16.8
2016-05-11,upstream,14.9,18.8
2016-05-12,upstream,14.2,16.0
2016-05-13,upstream,15.9,19.4
2016-05-14,upstream,16.3,19.8
2016-05-15,upstream,15.6,19.2
2016-05-16,upstream,14.6,18.6
2016-05-17,upstream,16.8,18.9
2016-05-18,upstream,16.2,19.6
2016-05-19,upstream,NA,NA
2016-05-20,upstream,15.7,19.8
2016-05-21,upstream,17.4,19.9
2016-05-22,upstream,16.0,20.2
2016-05-23,upstream,16.8,19.0
2016-05-24,upstream,15.7,18.1
2016-05-25,upstream,15.8,18.5
2016-05-26,upstream,16.6,18.8
2016-05-27,upstream,17.9,19.6
2016-05-28,upstream,17.7,20.0
2016-05-29,upstream,NA,NA
2016-05-30,upstream,17.5,21.8
2016-05-31,upstream,18.6,21.0
2016-06-01,upstream,17.3,19.7
2016-06-02,upstream,17.0,21.0
2016-06-03,upstream,15.9,20.0
2016-06-04,upstream,16.7,20.4
2016-06-05,upstream,16.4,20.1
2016-06-06,upstream,17.1,20.4
2016-06-07,upstream,16.6,19.4
2016-06-08,upstream,17.4,20.6
2016-06-09,upstream,16.5,19.8
2016-06-10,upstream,17.6,20.5
2016-06-11,upstream,18.5,22.1
2016-06-12,upstream,14.8,16.7
2016-06-13,upstream,18.3,21.4
2016-06-14,upstream,17.3,21.2
2016-06-15,upstream,18.5,20.6
2016-06-16,upstream,15.4,19.0
2016-06-17,upstream,15.9,19.3
2016-06-18,upstream,17.4,21.8
2016-06-19,upstream,18.6,21.5
2016-06-20,upstream,18.4,22.2
2016-06-21,upstream,16.1,17.8
2016-06-22,upstream,17.1,18.6
2016-06-23,upstream,15.8,19.2
2016-06-24,upstream,19.0,22.5
2016-06-25,upstream,18.3,21.6
2016-06-26,upstream,17.9,21.4
2016-06-27,upstream,15.9,17.9
2016-06-28,upstream,19.4,22.0
2016-06-29,upstream,16.7,19.0
2016-06-30,upstream,17.4,21.5
2016-07-01,upstream,17.4,20.1
2016-07-02,upstream,17.5,19.8
2016-07-03,upstream,18.0,20.0
2016-07-04,upstream,17.2,20.2
2016-07-05,upstream,18.0,20.3
2016-07-06,upstream,20.4,22.3
2016-07-07,upstream,18.2,20.6
2016-07-08,upstream,18.9,22.7
2016-07-09,upstream,NA,NA
2016-07-10,upstream,17.5,19.4
2016-07-11,upstream,19.4,23.0
2016-07-12,upstream,15.9,18.9
2016-07-13,upstream,17.8,20.4
2016-07-14,upstream,19.6,21.7
2016-07-15,upstream,19.5,22.2
2016-07-16,upstream,19.0,20.7
2016-07-17,upstream,16.9,20.8
2016-07-18,upstream,17.9,22.1
2016-07-19,upstream,19.2,22.6
2016-07-20,upstream,17.6,19.5
2016-07-21,upstream,17.6,20.0
2016-07-22,upstream,18.2,22.4
2016-07-23,upstream,17.1,20.4
2016-07-24,upstream,16.4,20.7
2016-07-25,upstream,17.0,18.6
2016-07-26,upstream,18.5,21.7
2016-07-27,upstream,14.8,16.6
2016-07-28,upstream,17.8,20.5
2016-07-29,upstream,18.3,21.6
2016-07-30,upstream,16.4,20.3
2016-07-31,upstream,15.0,19.1
2016-08-01,upstream,15.4,18.1
2016-08-02,upstream,17.5,19.9
2016-08-03,upstream,14.5,19.0
2016-08-04,upstream,16.8,20.3
2016-08-05,upstream,16.0,17.8
2016-08-06,upstream,17.5,19.7
2016-08-07,upstream,15.5,17.6
2016-08-08,upstream,16.8,19.9
2016-08-09,upstream,15.1,19.1
2016-08-10,upstream,17.6,21.9
2016-08-11,upstream,15.4,17.0
2016-08-12,upstream,15.9,17.7
2016-08-13,upstream,14.1,15.7
2016-08-14,upstream,15.3,19.5
2016-08-15,upstream,15.7,17.9
2016-08-16,upstream,13.8,16.1
2016-08-17,upstream,13.3,15.1
2016-08-18,upstream,15.2,19.2
2016-08-19,upstream,15.6,17.8
2016-08-20,upstream,11.7,13.9
2016-08-21,upstream,14.3,17.4
2016-08-22,upstream,13.9,16.3
2016-08-23,upstream,14.2,18.3
2016-08-24,upstream,14.0,16.1
2016-08-25,upstream,13.4,16.1
2016-08-26,upstream,NA,NA
2016-08-27,upstream,14.7,19.1
2016-08-28,upstream,15.4,18.5
2016-08-29,upstream,16.1,19.3
2016-08-30,upstream,13.6,16.4
2016-08-31,upstream,14.7,16.9
2016-09-01,upstream,11.2,14.0
2016-09-02,upstream,13.8,16.3
2016-09-03,upstream,13.2,15.9
2016-09-04,upstream,12.3,15.8
2016-09-05,upstream,12.0,14.4
2016-09-06,upstream,13.9,16.9
2016-09-07,upstream,12.9,15.0
2016-09-08,upstream,11.7,15.5
2016-09-09,upstream,10.9,14.7
2016-09-10,upstream,10.7,14.9
2016-09-11,upstream,11.9,13.4
2016-09-12,upstream,10.4,14.7
2016-09-13,upstream,10.5,12.8
2016-09-14,upstream,11.4,15.0
2016-09-15,upstream,11.3,15.1
2016-09-16,upstream,8.6,10.9
2016-09-17,upstream,12.0,14.6
2016-09-18,upstream,9.5,12.2
2016-09-19,upstream,12.8,15.4
2016-09-20,upstream,10.8,14.6
2016-09-21,upstream,9.8,12.2
2016-09-22,upstream,9.1,11.2
2016-09-23,upstream,8.3,11.7
2016-09-24,upstream,7.8,11.8
2016-09-25,upstream,8.5,12.0
2016-09-26,upstream,8.5,11.2
2016-09-27,upstream,9.1,13.0
2016-09-28,upstream,NA,NA
2016-09-29,upstream,8.2,11.7
2016-09-30,upstream,7.3,9.3
2016-10-01,upstream,8.2,10.3
2016-10-02,upstream,8.1,12.0
2016-10-03,upstream,8.2,10.0
2016-10-04,upstream,6.2,8.9
2016-10-05,upstream,7.0,8.8
2016-10-06,upstream,7.3,9.9
2016-10-07,upstream,3.7,7.3
2016-10-08,upstream,5.3,9.1
2016-10-09,upstream,4.0,6.5
2016-10-10,upstream,8.3,12.2
2016-10-11,upstream,5.5,8.6
2016-10-12,upstream,7.6,9.8
2016-10-13,upstream,5.7,10.1
2016-10-14,upstream,3.4,5.1
2016-10-15,upstream,3.5,6.3
2016-10-16,upstream,4.5,7.3
2016-10-17,upstream,6.3,9.3
2016-10-18,upstream,1.3,4.4
2016-10-19,upstream,3.6,6.8
2016-10-20,upstream,3.7,7.2
2016-10-21,upstream,3.1,6.4
2016-10-22,upstream,3.4,7.7
2016-10-23,upstream,5.1,9.1
2016-10-24,upstream,NA,NA
2016-10-25,upstream,4.1,8.4
2016-10-26,upstream,3.8,5.8
2016-10-27,upstream,4.5,8.9
2016-10-28,upstream,2.5,5.7
2016-10-29,upstream,3.1,5.2
2016-10-30,upstream,1.9,3.6
2016-10-31,upstream,3.6,5.3
2016-05-01,downstream,12.8,14.9
2016-05-02,downstream,17.7,19.2
2016-05-03,downstream,16.0,19.7
2016-05-04,downstream,15.3,18.9
2016-05-05,downstream,16.5,18.9
2016-05-06,downstream,14.4,17.3
2016-05-07,downstream,16.2,19.3
2016-05-08,downstream,15.1,19.4
2016-05-09,downstream,15.8,17.5
2016-05-10,downstream,16.8,20.7
2016-05-11,downstream,13.8,16.6
2016-05-12,downstream,15.4,18.7
2016-05-13,downstream,14.4,16.0
2016-05-14,downstream,17.1,21.1
2016-05-15,downstream,15.8,18.0
2016-05-16,downstream,17.3,19.8
2016-05-17,downstream,17.1,21.1
2016-05-18,downstream,15.6,19.5
2016-05-19,downstream,16.0,17.7
2016-05-20,downstream,15.3,18.9
2016-05-21,downstream,15.9,18.1
2016-05-22,downstream,19.2,22.7
2016-05-23,downstream,17.8,21.5
2016-05-24,downstream,16.0,17.9
2016-05-25,downstream,18.5,20.7
2016-05-26,downstream,18.1,21.9
2016-05-27,downstream,18.5,22.3
2016-05-28,downstream,17.2,19.9
2016-05-29,downstream,18.4,21.7
2016-05-30,downstream,19.4,23.1
2016-05-31,downstream,18.2,21.0
2016-06-01,downstream,15.7,17.4
2016-06-02,downstream,21.4,25.6
2016-06-03,downstream,19.2,20.8
2016-06-04,downstream,19.5,21.8
2016-06-05,downstream,18.5,21.7
2016-06-06,downstream,18.5,22.2
2016-06-07,downstream,17.9,21.7
2016-06-08,downstream,20.0,23.1
2016-06-09,downstream,18.4,22.2
2016-06-10,downstream,17.4,21.0
2016-06-11,downstream,20.8,23.4
2016-06-12,downstream,21.5,23.5
2016-06-13,downstream,20.2,22.3
2016-06-14,downstream,20.8,24.6
2016-06-15,downstream,19.7,21.9
2016-06-16,downstream,19.7,24.1
2016-06-17,downstream,18.0,21.0
2016-06-18,downstream,19.6,23.3
2016-06-19,downstream,19.7,23.4
2016-06-20,downstream,20.1,22.2
2016-06-21,downstream,19.8,21.4
2016-06-22,downstream,19.2,22.2
2016-06-23,downstream,19.4,21.1
2016-06-24,downstream,20.1,22.3
2016-06-25,downstream,20.3,22.3
2016-06-26,downstream,19.3,23.6
2016-06-27,downstream,21.1,24.0
2016-06-28,downstream,16.7,19.3
2016-06-29,downstream,18.1,20.1
2016-06-30,downstream,19.6,23.8
2016-07-01,downstream,19.9,23.1
2016-07-02,downstream,21.4,25.5
2016-07-03,downstream,19.7,22.2
2016-07-04,downstream,19.6,21.7
2016-07-05,downstream,21.5,23.8
2016-07-06,downstream,18.3,20.6
2016-07-07,downstream,20.0,24.0
2016-07-08,downstream,19.6,23.5
2016-07-09,downstream,19.1,22.3
2016-07-10,downstream,18.0,21.5
2016-07-11,downstream,16.7,20.3
2016-07-12,downstream,19.3,20.9
2016-07-13,downstream,19.8,22.0
2016-07-14,downstream,17.8,20.3
2016-07-15,downstream,17.6,19.6
2016-07-16,downstream,19.0,21.2
2016-07-17,downstream,20.7,23.2
2016-07-18,downstream,19.6,23.7
2016-07-19,downstream,18.1,20.8
2016-07-20,downstream,17.3,19.3
2016-07-21,downstream,20.0,22.8
2016-07-22,downstream,22.0,24.5
2016-07-23,downstream,17.0,19.7
2016-07-24,downstream,17.8,22.0
2016-07-25,downstream,18.4,21.5
2016-07-26,downstream,18.9,20.6
2016-07-27,downstream,19.5,21.4
2016-07-28,downstream,17.4,21.6
2016-07-29,downstream,17.5,20.6
2016-07-30,downstream,17.7,21.9
2016-07-31,downstream,18.4,22.1
2016-08-01,downstream,19.3,21.6
2016-08-02,downstream,19.3,22.1
2016-08-03,downstream,NA,NA
2016-08-04,downstream,16.0,18.7
2016-08-05,downstream,17.7,19.5
2016-08-06,downstream,17.5,20.6
2016-08-07,downstream,18.1,20.9
2016-08-08,downstream,17.1,21.2
2016-08-09,downstream,17.1,20.8
2016-08-10,downstream,16.5,18.5
2016-08-11,downstream,16.4,18.7
2016-08-12,downstream,17.6,19.6
2016-08-13,downstream,15.7,17.5
2016-08-14,downstream,15.7,19.4
2016-08-15,downstream,17.5,20.1
2016-08-16,downstream,17.4,19.0
2016-08-17,downstream,16.7,19.3
2016-08-18,downstream,16.5,18.2
2016-08-19,downstream,15.8,20.3
2016-08-20,downstream,15.7,20.1
2016-08-21,downstream,15.4,19.3
2016-08-22,downstream,17.2,19.2
2016-08-23,downstream,17.0,18.5
2016-08-24,downstream,14.8,19.2
2016-08-25,downstream,15.5,18.2
2016-08-26,downstream,17.8,21.4
2016-08-27,downstream,13.9,15.5
2016-08-28,downstream,12.6,16.8
2016-08-29,downstream,14.7,17.5
2016-08-30,downstream,14.6,17.4
2016-08-31,downstream,17.4,20.9
2016-09-01,downstream,13.6,17.6
2016-09-02,downstream,14.8,16.9
2016-09-03,downstream,14.9,16.7
2016-09-04,downstream,13.8,18.1
2016-09-05,downstream,14.2,17.8
2016-09-06,downstream,14.4,17.4
2016-09-07,downstream,11.7,13.5
2016-09-08,downstream,15.3,17.6
2016-09-09,downstream,12.3,14.6
2016-09-10,downstream,NA,NA
2016-09-11,downstream,10.9,14.6
2016-09-12,downstream,13.6,15.5
2016-09-13,downstream,12.1,15.3
2016-09-14,downstream,13.4,17.9
2016-09-15,downstream,12.3,13.8
2016-09-16,downstream,11.3,14.5
2016-09-17,downstream,12.1,13.9
2016-09-18,downstream,14.2,16.9
2016-09-19,downstream,12.2,16.4
2016-09-20,downstream,12.7,16.5
2016-09-21,downstream,9.6,13.3
2016-09-22,downstream,10.1,13.6
2016-09-23,downstream,10.2,14.1
2016-09-24,downstream,13.3,16.0
2016-09-25,downstream,10.4,13.2
2016-09-26,downstream,9.5,11.0
2016-09-27,downstream,11.6,14.2
2016-09-28,downstream,9.9,12.2
2016-09-29,downstream,8.2,12.1
2016-09-30,downstream,11.4,13.3
2016-10-01,downstream,7.8,9.5
2016-10-02,downstream,10.9,13.9
2016-10-03,downstream,10.0,13.9
2016-10-04,downstream,8.7,10.2
2016-10-05,downstream,10.5,13.2
2016-10-06,downstream,9.0,11.5
2016-10-07,downstream,9.4,11.0
2016-10-08,downstream,8.2,9.7
2016-10-09,downstream,7.2,11.5
2016-10-10,downstream,7.9,9.9
