# crappie_length_frequency.csv
# Silver Creek Impoundment - Black Crappie Fall Trap Net Length-Frequency Data
# Columns:
#   year: Year of sampling (integer, YYYY)
#   sample_date: Date of sampling (YYYY-MM-DD)
#   site: Trap net site identifier (character, TN01-TN08)
#   fish_id: Unique fish identifier (character)
#   total_length_mm: Total length in millimeters
#   weight_g: Weight in grams; NA if not weighed
#   sex: Sex of fish (M, F, or U for unknown); NA if not determined
# Units: length in mm, weight in g
# Missing values coded as NA
year,sample_date,site,fish_id,total_length_mm,weight_g,sex
2013,2013-10-19,TN01,C00183,200,76.0,NA
2013,2013-10-19,TN01,C00184,212,NA,U
2013,2013-10-19,TN01,C00185,171,58.5,F
2013,2013-10-19,TN01,C00186,202,102.1,F
2013,2013-10-19,TN01,C00187,131,22.4,M
2013,2013-10-19,TN01,C00188,162,49.8,NA
2013,2013-10-19,TN01,C00189,141,32.5,U
2013,2013-10-19,TN02,C00190,261,210.9,F
2013,2013-10-19,TN02,C00191,199,91.5,U
2013,2013-10-19,TN02,C00192,136,31.0,F
2013,2013-10-19,TN02,C00193,202,97.8,NA
2013,2013-10-19,TN02,C00194,288,301.8,F
2013,2013-10-19,TN02,C00195,166,45.0,U
2013,2013-10-19,TN02,C00196,217,113.7,M
2013,2013-10-19,TN02,C00197,224,140.8,F
2013,2013-10-19,TN02,C00198,121,17.9,F
2013,2013-10-19,TN02,C00199,216,NA,M
2013,2013-10-19,TN02,C00200,213,91.7,F
2013,2013-10-19,TN02,C00201,143,36.3,F
2013,2013-10-19,TN02,C00202,232,120.3,U
2013,2013-10-19,TN02,C00203,160,48.2,NA
2013,2013-10-19,TN02,C00204,178,60.0,F
2013,2013-10-19,TN03,C00205,239,147.5,NA
2013,2013-10-19,TN03,C00206,151,43.1,F
2013,2013-10-19,TN03,C00207,222,105.0,F
2013,2013-10-19,TN03,C00208,211,105.4,F
2013,2013-10-19,TN03,C00209,263,214.5,NA
2013,2013-10-19,TN03,C00210,253,208.3,U
2013,2013-10-19,TN03,C00211,213,108.5,F
2013,2013-10-19,TN03,C00212,246,177.7,F
2013,2013-10-19,TN03,C00213,191,75.6,F
2013,2013-10-19,TN03,C00214,190,85.0,M
2013,2013-10-19,TN03,C00215,253,181.1,NA
2013,2013-10-19,TN03,C00216,240,132.9,F
2013,2013-10-19,TN03,C00217,195,81.2,M
2013,2013-10-19,TN03,C00218,214,NA,F
2013,2013-10-19,TN04,C00219,199,90.6,M
2013,2013-10-19,TN04,C00220,143,30.0,NA
2013,2013-10-19,TN04,C00221,219,NA,M
2013,2013-10-19,TN04,C00222,238,130.6,F
2013,2013-10-19,TN04,C00223,160,41.3,F
2013,2013-10-19,TN04,C00224,239,132.2,M
2013,2013-10-19,TN04,C00225,245,171.0,M
2013,2013-10-19,TN04,C00226,224,122.4,F
2013,2013-10-19,TN04,C00227,144,31.0,F
2013,2013-10-19,TN04,C00228,217,112.6,F
2013,2013-10-19,TN04,C00229,215,110.2,M
2013,2013-10-19,TN04,C00230,234,NA,M
2013,2013-10-19,TN04,C00231,252,191.7,F
2013,2013-10-19,TN04,C00232,234,139.7,U
2013,2013-10-19,TN04,C00233,237,131.9,F
2013,2013-10-19,TN04,C00234,249,158.9,M
2013,2013-10-19,TN04,C00235,212,108.7,U
2013,2013-10-19,TN04,C00236,209,86.9,NA
2013,2013-10-19,TN04,C00237,233,159.1,M
2013,2013-10-19,TN04,C00238,223,125.8,F
2013,2013-10-19,TN04,C00239,144,34.7,F
2013,2013-10-19,TN04,C00240,223,136.0,M
2013,2013-10-19,TN05,C00241,262,198.7,NA
2013,2013-10-19,TN05,C00242,139,27.4,NA
2013,2013-10-19,TN05,C00243,223,123.4,M
2013,2013-10-19,TN05,C00244,143,NA,F
2013,2013-10-19,TN05,C00245,250,197.5,NA
2013,2013-10-19,TN05,C00246,186,67.3,M
2013,2013-10-19,TN05,C00247,224,113.7,U
2013,2013-10-19,TN05,C00248,224,NA,F
2013,2013-10-19,TN05,C00249,185,69.8,M
2013,2013-10-19,TN05,C00250,196,95.7,F
2013,2013-10-19,TN05,C00251,207,105.5,M
2013,2013-10-19,TN05,C00252,233,151.4,F
2013,2013-10-19,TN05,C00253,172,56.9,NA
2013,2013-10-19,TN05,C00254,189,69.2,F
2013,2013-10-19,TN05,C00255,243,NA,M
2013,2013-10-19,TN05,C00256,220,112.5,F
2013,2013-10-19,TN05,C00257,170,49.5,NA
2013,2013-10-19,TN05,C00258,217,105.9,U
2013,2013-10-19,TN05,C00259,186,80.1,F
2013,2013-10-19,TN05,C00260,308,NA,F
2013,2013-10-19,TN05,C00261,175,55.6,F
2013,2013-10-19,TN05,C00262,238,148.4,F
2013,2013-10-19,TN05,C00263,153,42.4,F
2013,2013-10-19,TN06,C00264,224,110.0,F
2013,2013-10-19,TN06,C00265,269,227.1,M
2013,2013-10-19,TN06,C00266,177,60.1,F
2013,2013-10-19,TN06,C00267,210,112.2,M
2013,2013-10-19,TN06,C00268,140,29.6,F
2013,2013-10-19,TN06,C00269,173,60.1,NA
2013,2013-10-19,TN06,C00270,133,24.9,U
2013,2013-10-19,TN06,C00271,259,172.8,NA
2013,2013-10-19,TN06,C00272,230,116.6,F
2013,2013-10-19,TN06,C00273,209,86.9,F
2013,2013-10-19,TN06,C00274,223,115.9,U
2013,2013-10-19,TN07,C00275,184,74.8,U
2013,2013-10-19,TN07,C00276,196,70.9,M
2013,2013-10-19,TN07,C00277,252,153.5,NA
2013,2013-10-19,TN07,C00278,189,66.7,F
2013,2013-10-19,TN07,C00279,219,102.3,M
2013,2013-10-19,TN07,C00280,238,141.2,M
2013,2013-10-19,TN07,C00281,149,37.5,F
2013,2013-10-19,TN07,C00282,163,43.0,U
2013,2013-10-19,TN07,C00283,237,167.0,F
2013,2013-10-19,TN07,C00284,226,111.6,F
2013,2013-10-19,TN07,C00285,230,136.1,F
2013,2013-10-19,TN07,C00286,249,NA,F
2013,2013-10-19,TN07,C00287,241,147.8,M
2013,2013-10-19,TN07,C00288,247,187.5,M
2013,2013-10-19,TN07,C00289,201,88.2,NA
2013,2013-10-19,TN07,C00290,251,194.8,F
2013,2013-10-19,TN07,C00291,182,73.8,M
2013,2013-10-19,TN07,C00292,225,120.1,U
2013,2013-10-19,TN07,C00293,178,61.6,F
2013,2013-10-19,TN08,C00294,228,134.6,U
2013,2013-10-19,TN08,C00295,279,216.6,F
2013,2013-10-19,TN08,C00296,314,342.5,M
2013,2013-10-19,TN08,C00297,172,62.1,M
2013,2013-10-19,TN08,C00298,211,108.2,U
2013,2013-10-19,TN08,C00299,149,32.4,U
2013,2013-10-19,TN08,C00300,255,NA,F
2013,2013-10-19,TN08,C00301,198,88.0,NA
2013,2013-10-19,TN08,C00302,100,11.9,U
2013,2013-10-19,TN08,C00303,203,100.4,F
2013,2013-10-19,TN08,C00304,148,37.1,NA
2013,2013-10-19,TN08,C00305,162,41.2,M
2014,2014-10-03,TN01,C00306,235,165.9,M
2014,2014-10-03,TN01,C00307,223,NA,F
2014,2014-10-03,TN01,C00308,187,69.8,M
2014,2014-10-03,TN01,C00309,237,157.8,M
2014,2014-10-03,TN01,C00310,192,78.1,NA
2014,2014-10-03,TN01,C00311,143,NA,F
2014,2014-10-03,TN01,C00312,201,94.4,U
2014,2014-10-03,TN01,C00313,248,161.1,F
2014,2014-10-03,TN01,C00314,260,207.2,M
2014,2014-10-03,TN01,C00315,217,107.6,M
2014,2014-10-03,TN01,C00316,176,61.4,F
2014,2014-10-03,TN01,C00317,245,177.1,U
2014,2014-10-03,TN01,C00318,216,126.4,M
2014,2014-10-03,TN01,C00319,211,112.4,M
2014,2014-10-03,TN01,C00320,190,73.8,F
2014,2014-10-03,TN01,C00321,196,81.4,U
2014,2014-10-03,TN01,C00322,106,13.8,F
2014,2014-10-03,TN01,C00323,138,27.0,F
2014,2014-10-03,TN01,C00324,173,62.1,F
2014,2014-10-03,TN01,C00325,199,97.8,NA
2014,2014-10-03,TN01,C00326,210,115.9,F
2014,2014-10-03,TN01,C00327,215,97.4,U
2014,2014-10-03,TN02,C00328,153,44.0,M
2014,2014-10-03,TN02,C00329,194,NA,F
2014,2014-10-03,TN02,C00330,137,30.7,M
2014,2014-10-03,TN02,C00331,249,NA,F
2014,2014-10-03,TN02,C00332,251,177.6,M
2014,2014-10-03,TN02,C00333,211,NA,F
2014,2014-10-03,TN02,C00334,350,425.8,F
2014,2014-10-03,TN02,C00335,222,135.1,M
2014,2014-10-03,TN02,C00336,235,128.8,NA
2014,2014-10-03,TN02,C00337,255,163.4,F
2014,2014-10-03,TN02,C00338,183,66.2,M
2014,2014-10-03,TN02,C00339,132,28.1,M
2014,2014-10-03,TN02,C00340,182,60.3,NA
2014,2014-10-03,TN02,C00341,215,113.1,M
2014,2014-10-03,TN02,C00342,161,49.6,U
2014,2014-10-03,TN02,C00343,229,127.8,U
2014,2014-10-03,TN02,C00344,241,179.3,M
2014,2014-10-03,TN02,C00345,263,202.7,M
2014,2014-10-03,TN02,C00346,185,79.2,M
2014,2014-10-03,TN02,C00347,206,84.0,F
2014,2014-10-03,TN02,C00348,207,88.8,M
2014,2014-10-03,TN02,C00349,208,90.0,NA
2014,2014-10-03,TN02,C00350,240,140.1,M
2014,2014-10-03,TN02,C00351,202,84.1,NA
2014,2014-10-03,TN02,C00352,200,91.7,F
2014,2014-10-03,TN02,C00353,201,NA,M
2014,2014-10-03,TN02,C00354,218,NA,F
2014,2014-10-03,TN02,C00355,168,45.5,F
2014,2014-10-03,TN02,C00356,162,NA,U
2014,2014-10-03,TN02,C00357,239,149.2,M
2014,2014-10-03,TN03,C00358,205,103.9,U
2014,2014-10-03,TN03,C00359,181,73.0,F
2014,2014-10-03,TN03,C00360,247,151.1,F
2014,2014-10-03,TN03,C00361,172,62.6,M
2014,2014-10-03,TN03,C00362,170,46.2,M
2014,2014-10-03,TN03,C00363,219,118.5,U
2014,2014-10-03,TN03,C00364,247,185.5,F
2014,2014-10-03,TN03,C00365,196,77.1,F
2014,2014-10-03,TN03,C00366,164,47.8,M
2014,2014-10-03,TN03,C00367,261,175.5,U
2014,2014-10-03,TN03,C00368,196,76.2,F
2014,2014-10-03,TN03,C00369,228,137.0,NA
2014,2014-10-03,TN03,C00370,269,237.5,NA
2014,2014-10-03,TN03,C00371,215,115.5,NA
2014,2014-10-03,TN04,C00372,192,77.5,F
2014,2014-10-03,TN04,C00373,219,NA,M
2014,2014-10-03,TN04,C00374,172,61.7,M
2014,2014-10-03,TN04,C00375,198,88.5,U
2014,2014-10-03,TN04,C00376,305,285.5,F
2014,2014-10-03,TN04,C00377,182,70.0,F
2014,2014-10-03,TN04,C00378,201,80.0,F
2014,2014-10-03,TN04,C00379,255,185.6,M
2014,2014-10-03,TN04,C00380,276,261.7,M
2014,2014-10-03,TN04,C00381,138,31.7,F
2014,2014-10-03,TN04,C00382,188,65.4,M
2014,2014-10-03,TN04,C00383,213,NA,F
2014,2014-10-03,TN04,C00384,215,108.8,F
2014,2014-10-03,TN04,C00385,164,51.4,U
2014,2014-10-03,TN04,C00386,216,108.7,NA
2014,2014-10-03,TN04,C00387,201,80.3,NA
2014,2014-10-03,TN04,C00388,190,65.2,F
2014,2014-10-03,TN04,C00389,289,294.6,M
2014,2014-10-03,TN04,C00390,223,115.7,U
2014,2014-10-03,TN04,C00391,181,58.5,F
2014,2014-10-03,TN05,C00392,183,64.5,U
2014,2014-10-03,TN05,C00393,220,NA,M
2014,2014-10-03,TN05,C00394,226,133.1,F
2014,2014-10-03,TN05,C00395,155,40.2,NA
2014,2014-10-03,TN05,C00396,218,132.4,F
2014,2014-10-03,TN05,C00397,190,76.5,M
2014,2014-10-03,TN05,C00398,203,80.3,M
2014,2014-10-03,TN05,C00399,221,137.3,F
2014,2014-10-03,TN05,C00400,143,34.5,F
2014,2014-10-03,TN05,C00401,166,NA,U
2014,2014-10-03,TN05,C00402,109,NA,F
2014,2014-10-03,TN05,C00403,240,161.9,M
2014,2014-10-03,TN05,C00404,169,50.0,M
2014,2014-10-03,TN05,C00405,224,NA,M
2014,2014-10-03,TN05,C00406,230,147.0,NA
2014,2014-10-03,TN05,C00407,133,26.2,F
2014,2014-10-03,TN05,C00408,189,77.1,M
2014,2014-10-03,TN05,C00409,149,31.3,NA
2014,2014-10-03,TN05,C00410,243,150.0,U
2014,2014-10-03,TN05,C00411,238,131.9,M
2014,2014-10-03,TN05,C00412,196,NA,M
2014,2014-10-03,TN05,C00413,166,44.6,F
2014,2014-10-03,TN05,C00414,224,NA,M
2014,2014-10-03,TN05,C00415,166,NA,M
2014,2014-10-03,TN05,C00416,186,61.6,F
2014,2014-10-03,TN05,C00417,196,82.1,U
2014,2014-10-03,TN05,C00418,228,133.0,F
2014,2014-10-03,TN05,C00419,183,65.8,F
2014,2014-10-03,TN05,C00420,174,60.1,U
2014,2014-10-03,TN06,C00421,244,171.3,M
2014,2014-10-03,TN06,C00422,221,138.0,F
2014,2014-10-03,TN06,C00423,144,33.2,M
2014,2014-10-03,TN06,C00424,256,206.2,M
2014,2014-10-03,TN06,C00425,150,38.9,U
2014,2014-10-03,TN06,C00426,200,90.5,F
2014,2014-10-03,TN06,C00427,224,124.1,U
2014,2014-10-03,TN06,C00428,122,17.1,F
2014,2014-10-03,TN06,C00429,235,136.8,NA
2014,2014-10-03,TN06,C00430,215,96.7,M
2014,2014-10-03,TN06,C00431,229,114.4,F
2014,2014-10-03,TN06,C00432,205,105.1,NA
2014,2014-10-03,TN06,C00433,142,35.1,M
2014,2014-10-03,TN06,C00434,218,108.8,M
2014,2014-10-03,TN06,C00435,187,63.2,M
2014,2014-10-03,TN06,C00436,213,107.1,NA
2014,2014-10-03,TN06,C00437,201,100.2,M
2014,2014-10-03,TN07,C00438,145,28.5,F
2014,2014-10-03,TN07,C00439,267,209.3,NA
2014,2014-10-03,TN07,C00440,228,127.9,M
2014,2014-10-03,TN07,C00441,199,NA,M
2014,2014-10-03,TN07,C00442,262,184.2,M
2014,2014-10-03,TN07,C00443,202,92.7,U
2014,2014-10-03,TN07,C00444,210,96.7,F
2014,2014-10-03,TN07,C00445,234,124.6,F
2014,2014-10-03,TN07,C00446,154,35.5,F
2014,2014-10-03,TN07,C00447,214,111.1,F
2014,2014-10-03,TN07,C00448,208,95.0,M
2014,2014-10-03,TN07,C00449,174,53.4,NA
2014,2014-10-03,TN07,C00450,149,35.2,M
2014,2014-10-03,TN07,C00451,180,56.4,NA
2014,2014-10-03,TN07,C00452,235,157.2,U
2014,2014-10-03,TN07,C00453,180,67.3,NA
2014,2014-10-03,TN07,C00454,159,NA,M
2014,2014-10-03,TN07,C00455,193,88.3,NA
2014,2014-10-03,TN07,C00456,201,92.2,U
2014,2014-10-03,TN07,C00457,212,116.2,F
2014,2014-10-03,TN07,C00458,238,129.6,M
2014,2014-10-03,TN07,C00459,174,66.6,U
2014,2014-10-03,TN07,C00460,226,130.3,U
2014,2014-10-03,TN07,C00461,235,165.8,U
2014,2014-10-03,TN07,C00462,187,69.0,F
2014,2014-10-03,TN07,C00463,195,85.2,F
2014,2014-10-03,TN07,C00464,274,225.3,NA
2014,2014-10-03,TN07,C00465,140,26.6,M
2014,2014-10-03,TN07,C00466,200,86.1,F
2014,2014-10-03,TN08,C00467,200,85.4,U
2014,2014-10-03,TN08,C00468,201,NA,F
2014,2014-10-03,TN08,C00469,260,187.4,M
2014,2014-10-03,TN08,C00470,194,76.2,F
2014,2014-10-03,TN08,C00471,218,104.8,NA
2014,2014-10-03,TN08,C00472,240,144.0,F
2014,2014-10-03,TN08,C00473,216,117.6,NA
2014,2014-10-03,TN08,C00474,220,115.2,F
2014,2014-10-03,TN08,C00475,147,34.3,F
2014,2014-10-03,TN08,C00476,225,118.9,F
2014,2014-10-03,TN08,C00477,186,67.0,F
2014,2014-10-03,TN08,C00478,245,156.8,M
2014,2014-10-03,TN08,C00479,206,98.2,U
2014,2014-10-03,TN08,C00480,180,NA,U
2014,2014-10-03,TN08,C00481,194,82.7,U
2014,2014-10-03,TN08,C00482,227,114.9,M
2014,2014-10-03,TN08,C00483,215,115.1,F
2014,2014-10-03,TN08,C00484,235,126.7,F
2014,2014-10-03,TN08,C00485,209,93.8,F
2014,2014-10-03,TN08,C00486,173,65.0,M
2014,2014-10-03,TN08,C00487,191,83.1,M
2014,2014-10-03,TN08,C00488,222,129.7,F
2014,2014-10-03,TN08,C00489,141,32.5,M
2014,2014-10-03,TN08,C00490,180,63.0,NA
2014,2014-10-03,TN08,C00491,288,NA,M
2014,2014-10-03,TN08,C00492,168,45.5,M
2014,2014-10-03,TN08,C00493,192,82.0,F
2014,2014-10-03,TN08,C00494,160,38.9,NA
2014,2014-10-03,TN08,C00495,175,55.8,M
2015,2015-10-11,TN01,C00496,193,78.5,F
2015,2015-10-11,TN01,C00497,125,21.0,M
2015,2015-10-11,TN01,C00498,169,55.0,M
2015,2015-10-11,TN01,C00499,170,46.1,M
2015,2015-10-11,TN01,C00500,252,173.9,U
2015,2015-10-11,TN01,C00501,195,88.2,M
2015,2015-10-11,TN01,C00502,192,69.9,F
2015,2015-10-11,TN01,C00503,196,73.7,F
2015,2015-10-11,TN01,C00504,241,141.1,NA
2015,2015-10-11,TN01,C00505,266,241.1,U
2015,2015-10-11,TN01,C00506,217,113.6,M
2015,2015-10-11,TN01,C00507,221,136.7,U
2015,2015-10-11,TN01,C00508,220,132.6,F
2015,2015-10-11,TN01,C00509,222,131.9,F
2015,2015-10-11,TN01,C00510,189,NA,F
2015,2015-10-11,TN02,C00511,167,53.8,NA
2015,2015-10-11,TN02,C00512,208,100.4,M
2015,2015-10-11,TN02,C00513,226,119.2,F
2015,2015-10-11,TN02,C00514,168,51.3,F
2015,2015-10-11,TN02,C00515,161,45.8,M
2015,2015-10-11,TN02,C00516,187,62.2,M
