# crappie_harvest_survey.csv
# Silver Creek Impoundment - Black Crappie Voluntary Creel/Harvest Survey Data
# Columns:
#   year: Year of survey (integer, YYYY)
#   month: Month of survey (integer, 1-12)
#   survey_date: Date of creel clerk interview (YYYY-MM-DD)
#   angler_id: Anonymous angler identifier (character)
#   hours_fished: Hours spent fishing during that trip
#   crappie_caught: Total black crappie caught (kept + released)
#   crappie_harvested: Number of black crappie kept/harvested
#   largest_fish_mm: Length of largest crappie caught in mm; NA if no fish caught
#   satisfaction: Angler satisfaction rating (1=very dissatisfied to 5=very satisfied); NA if not answered
# Units: effort in hours, length in mm
# Missing values coded as NA
year,month,survey_date,angler_id,hours_fished,crappie_caught,crappie_harvested,largest_fish_mm,satisfaction
2015,6,2015-06-06,A201506001,3.8,4,2,209,3
2015,6,2015-06-06,A201506002,2.1,0,0,NA,NA
2015,6,2015-06-06,A201506003,6.3,16,10,230,3
2015,6,2015-06-06,A201506004,2.2,7,4,256,4
2015,6,2015-06-06,A201506005,3.0,1,1,158,4
2015,6,2015-06-06,A201506006,7.5,10,8,135,3
2015,6,2015-06-06,A201506007,4.6,6,5,194,3
2015,7,2015-07-19,A201507000,7.1,0,0,NA,3
2015,7,2015-07-19,A201507001,3.1,12,8,239,4
2015,7,2015-07-19,A201507002,3.9,9,4,220,3
2015,7,2015-07-19,A201507003,6.1,7,5,168,4
2015,7,2015-07-19,A201507004,6.9,13,6,174,4
2015,7,2015-07-19,A201507005,3.3,6,4,286,3
2015,7,2015-07-19,A201507006,5.9,7,5,185,5
2015,7,2015-07-19,A201507007,5.2,2,2,187,2
2015,7,2015-07-19,A201507008,4.6,0,0,NA,4
2015,7,2015-07-19,A201507009,6.3,7,4,222,4
2015,7,2015-07-19,A201507010,3.1,8,3,236,4
2015,7,2015-07-19,A201507011,2.7,4,1,177,3
2015,7,2015-07-19,A201507012,1.9,10,7,243,4
2015,7,2015-07-19,A201507013,1.6,2,2,226,2
2015,7,2015-07-19,A201507014,2.1,4,2,248,5
2015,7,2015-07-19,A201507015,4.6,0,0,NA,3
2015,7,2015-07-19,A201507016,4.7,10,6,139,3
2015,8,2015-08-11,A201508000,2.7,13,7,230,4
2015,8,2015-08-11,A201508001,3.7,9,5,214,3
2015,8,2015-08-11,A201508002,5.2,7,3,152,4
2015,8,2015-08-11,A201508003,1.6,8,5,246,4
2015,8,2015-08-11,A201508004,7.6,2,0,233,4
2015,8,2015-08-11,A201508005,7.2,12,9,163,3
2015,8,2015-08-11,A201508006,7.0,7,4,218,4
2015,8,2015-08-11,A201508007,2.3,10,7,210,4
2015,8,2015-08-11,A201508008,7.8,4,2,231,3
2015,8,2015-08-11,A201508009,1.8,12,8,222,3
2015,8,2015-08-11,A201508010,6.5,1,1,227,5
2015,8,2015-08-11,A201508011,5.5,6,5,221,4
2015,8,2015-08-11,A201508012,2.3,11,8,224,4
2015,8,2015-08-11,A201508013,3.7,7,6,211,2
2015,9,2015-09-16,A201509000,7.8,10,6,189,3
2015,9,2015-09-16,A201509001,4.1,10,7,261,3
2015,9,2015-09-16,A201509002,5.5,13,10,184,3
2015,9,2015-09-16,A201509003,4.9,12,5,207,3
2015,9,2015-09-16,A201509004,5.2,6,4,228,3
2015,9,2015-09-16,A201509005,5.4,13,8,156,2
2015,9,2015-09-16,A201509006,4.0,6,2,194,3
2015,9,2015-09-16,A201509007,1.7,7,5,156,4
2015,9,2015-09-16,A201509008,2.9,4,4,188,3
2015,9,2015-09-16,A201509009,4.1,10,6,200,NA
2015,9,2015-09-16,A201509010,2.9,10,6,298,5
2015,9,2015-09-16,A201509011,5.4,7,2,178,4
2015,9,2015-09-16,A201509012,7.7,5,3,207,3
2015,9,2015-09-16,A201509013,2.3,5,3,162,3
2015,10,2015-10-17,A201510000,4.5,7,3,218,4
2015,10,2015-10-17,A201510001,7.0,10,6,176,4
2015,10,2015-10-17,A201510002,2.5,8,4,256,NA
2015,10,2015-10-17,A201510003,2.5,10,8,202,4
2015,10,2015-10-17,A201510004,5.2,3,2,224,3
2015,10,2015-10-17,A201510005,2.6,8,5,214,4
2015,10,2015-10-17,A201510006,5.5,0,0,NA,3
2015,10,2015-10-17,A201510007,7.7,6,5,199,NA
2015,10,2015-10-17,A201510008,5.3,6,4,204,5
2015,10,2015-10-17,A201510009,5.2,3,1,213,5
2015,10,2015-10-17,A201510010,7.2,7,5,212,4
2015,10,2015-10-17,A201510011,2.8,2,2,168,NA
2015,10,2015-10-17,A201510012,3.5,12,9,240,4
2015,10,2015-10-17,A201510013,4.0,10,6,185,3
2015,10,2015-10-17,A201510014,5.6,14,10,234,5
2016,4,2016-04-07,A201604000,6.8,10,3,267,4
2016,4,2016-04-07,A201604001,6.9,4,2,228,3
2016,4,2016-04-07,A201604002,5.8,7,3,232,2
2016,4,2016-04-07,A201604003,4.9,8,3,177,4
2016,4,2016-04-07,A201604004,6.7,10,6,251,3
2016,4,2016-04-07,A201604005,4.0,11,7,213,NA
2016,4,2016-04-07,A201604006,1.6,6,6,163,3
2016,4,2016-04-07,A201604007,4.2,7,4,207,2
2016,4,2016-04-07,A201604008,7.0,6,4,194,3
2016,4,2016-04-07,A201604009,2.2,10,5,214,NA
2016,4,2016-04-07,A201604010,6.9,5,3,154,5
2016,4,2016-04-07,A201604011,5.9,0,0,NA,5
2016,4,2016-04-07,A201604012,7.8,5,3,204,4
2016,4,2016-04-07,A201604013,5.7,9,7,156,4
2016,5,2016-05-20,A201605000,5.5,12,10,220,3
2016,5,2016-05-20,A201605001,7.6,5,4,189,3
2016,5,2016-05-20,A201605002,5.9,8,5,215,3
2016,5,2016-05-20,A201605003,4.7,11,7,222,3
2016,5,2016-05-20,A201605004,5.0,3,1,218,NA
2016,5,2016-05-20,A201605005,6.1,7,4,146,4
2016,5,2016-05-20,A201605006,3.7,11,6,205,3
2016,5,2016-05-20,A201605007,7.0,15,9,171,4
2016,5,2016-05-20,A201605008,1.6,11,7,169,2
2016,5,2016-05-20,A201605009,6.0,17,12,218,3
2016,6,2016-06-19,A201606000,4.9,14,8,164,3
2016,6,2016-06-19,A201606001,3.8,13,7,207,2
2016,6,2016-06-19,A201606002,5.2,18,12,231,2
2016,6,2016-06-19,A201606003,5.8,7,4,209,3
2016,6,2016-06-19,A201606004,2.9,11,7,227,3
2016,6,2016-06-19,A201606005,1.7,4,2,248,4
2016,6,2016-06-19,A201606006,3.2,11,7,218,NA
2016,6,2016-06-19,A201606007,6.4,11,7,140,NA
2016,6,2016-06-19,A201606008,1.7,12,9,210,3
2016,6,2016-06-19,A201606009,3.6,7,4,209,4
2016,6,2016-06-19,A201606010,6.2,8,4,218,3
2016,6,2016-06-19,A201606011,3.9,9,5,177,3
2016,7,2016-07-07,A201607000,5.1,11,5,185,4
2016,7,2016-07-07,A201607001,2.0,12,8,222,5
2016,7,2016-07-07,A201607002,4.9,9,7,208,3
2016,7,2016-07-07,A201607003,1.7,6,4,197,4
2016,7,2016-07-07,A201607004,3.2,2,1,221,3
2016,7,2016-07-07,A201607005,4.0,13,8,171,2
2016,7,2016-07-07,A201607006,4.6,5,3,193,2
2016,7,2016-07-07,A201607007,2.1,0,0,NA,3
2016,7,2016-07-07,A201607008,7.6,9,6,200,NA
2016,7,2016-07-07,A201607009,2.5,8,3,224,4
2016,7,2016-07-07,A201607010,3.7,11,6,219,3
2016,7,2016-07-07,A201607011,1.7,13,6,225,4
2016,8,2016-08-14,A201608000,3.6,1,1,202,3
2016,8,2016-08-14,A201608001,3.3,3,2,147,3
2016,8,2016-08-14,A201608002,1.6,10,9,187,2
2016,8,2016-08-14,A201608003,6.3,9,5,242,4
2016,8,2016-08-14,A201608004,5.6,10,6,178,3
2016,8,2016-08-14,A201608005,3.0,3,2,177,NA
2016,8,2016-08-14,A201608006,4.8,7,4,210,3
2016,8,2016-08-14,A201608007,7.4,12,8,191,4
2016,8,2016-08-14,A201608008,5.9,5,4,189,2
2016,8,2016-08-14,A201608009,3.3,6,2,231,3
2016,8,2016-08-14,A201608010,2.2,2,1,217,4
2016,8,2016-08-14,A201608011,3.7,3,2,179,4
2016,8,2016-08-14,A201608012,6.5,5,3,223,4
2016,8,2016-08-14,A201608013,2.2,8,5,221,4
2016,8,2016-08-14,A201608014,2.3,0,0,NA,4
2016,8,2016-08-14,A201608015,7.8,5,2,169,3
2016,8,2016-08-14,A201608016,7.8,9,6,214,3
2016,8,2016-08-14,A201608017,6.9,10,4,192,3
2016,9,2016-09-12,A201609000,6.0,14,10,205,4
2016,9,2016-09-12,A201609001,2.3,10,7,192,4
2016,9,2016-09-12,A201609002,1.8,8,5,219,3
2016,9,2016-09-12,A201609003,7.7,10,8,177,4
2016,9,2016-09-12,A201609004,3.1,0,0,NA,4
2016,9,2016-09-12,A201609005,3.1,5,3,197,4
2016,9,2016-09-12,A201609006,2.8,8,5,161,4
2016,9,2016-09-12,A201609007,6.3,10,7,245,4
2016,9,2016-09-12,A201609008,7.3,6,3,202,NA
2016,9,2016-09-12,A201609009,4.9,12,5,234,3
2016,9,2016-09-12,A201609010,6.9,4,1,203,4
2016,9,2016-09-12,A201609011,5.5,9,5,208,4
2016,9,2016-09-12,A201609012,3.8,3,1,228,3
2016,9,2016-09-12,A201609013,6.0,8,4,219,2
2016,9,2016-09-12,A201609014,2.0,3,2,170,4
2016,9,2016-09-12,A201609015,2.9,12,8,239,3
2016,9,2016-09-12,A201609016,3.7,9,7,191,3
2016,9,2016-09-12,A201609017,7.7,12,6,213,3
2016,9,2016-09-12,A201609018,6.3,0,0,NA,4
2016,9,2016-09-12,A201609019,5.9,8,3,236,5
2016,10,2016-10-23,A201610000,1.8,8,5,161,4
2016,10,2016-10-23,A201610001,4.5,8,4,236,3
2016,10,2016-10-23,A201610002,6.5,9,7,204,3
2016,10,2016-10-23,A201610003,4.3,5,2,203,3
2016,10,2016-10-23,A201610004,2.2,6,5,172,3
2016,10,2016-10-23,A201610005,2.1,9,5,156,4
2016,10,2016-10-23,A201610006,3.0,17,13,221,3
2016,10,2016-10-23,A201610007,4.6,8,5,213,3
2016,10,2016-10-23,A201610008,2.1,10,7,199,4
2016,10,2016-10-23,A201610009,2.8,12,9,214,3
2016,10,2016-10-23,A201610010,5.3,13,8,215,4
2016,10,2016-10-23,A201610011,6.5,14,9,187,3
2016,10,2016-10-23,A201610012,3.3,15,10,199,3
2016,10,2016-10-23,A201610013,5.4,7,4,191,3
2016,10,2016-10-23,A201610014,4.3,11,5,232,3
2016,10,2016-10-23,A201610015,6.2,5,2,213,3
2017,4,2017-04-13,A201704000,3.7,4,2,205,4
2017,4,2017-04-13,A201704001,1.5,14,9,209,3
2017,4,2017-04-13,A201704002,4.6,0,0,NA,4
2017,4,2017-04-13,A201704003,3.2,3,3,228,2
2017,4,2017-04-13,A201704004,5.6,9,6,167,4
2017,4,2017-04-13,A201704005,7.9,11,5,169,3
2017,4,2017-04-13,A201704006,5.6,6,2,190,4
2017,4,2017-04-13,A201704007,3.2,10,6,196,3
2017,4,2017-04-13,A201704008,3.8,11,4,158,3
2017,4,2017-04-13,A201704009,3.2,6,3,205,4
2017,4,2017-04-13,A201704010,6.6,4,2,194,3
2017,4,2017-04-13,A201704011,6.0,13,8,224,3
2017,5,2017-05-17,A201705000,3.4,0,0,NA,3
2017,5,2017-05-17,A201705001,7.6,8,5,252,3
2017,5,2017-05-17,A201705002,1.5,13,7,217,3
2017,5,2017-05-17,A201705003,2.8,3,0,205,2
2017,5,2017-05-17,A201705004,2.3,0,0,NA,4
2017,5,2017-05-17,A201705005,1.7,12,8,154,4
2017,5,2017-05-17,A201705006,6.2,10,7,185,4
2017,5,2017-05-17,A201705007,7.6,0,0,NA,NA
2017,5,2017-05-17,A201705008,5.1,5,3,214,4
2017,5,2017-05-17,A201705009,6.8,6,3,198,3
2017,5,2017-05-17,A201705010,7.2,8,6,158,4
2017,5,2017-05-17,A201705011,4.0,7,2,219,2
2017,5,2017-05-17,A201705012,5.9,6,4,247,4
2017,5,2017-05-17,A201705013,4.4,13,8,210,2
2017,5,2017-05-17,A201705014,3.7,5,4,158,4
2017,5,2017-05-17,A201705015,6.9,5,3,228,4
2017,5,2017-05-17,A201705016,7.5,1,1,200,3
2017,5,2017-05-17,A201705017,3.2,4,3,234,2
2017,5,2017-05-17,A201705018,7.4,9,5,147,3
2017,5,2017-05-17,A201705019,4.5,10,6,211,2
2017,6,2017-06-17,A201706000,7.1,2,0,151,3
2017,6,2017-06-17,A201706001,7.0,8,2,233,2
2017,6,2017-06-17,A201706002,7.8,2,2,157,3
2017,6,2017-06-17,A201706003,6.7,0,0,NA,3
2017,6,2017-06-17,A201706004,3.8,10,5,234,3
2017,6,2017-06-17,A201706005,7.3,6,2,164,4
2017,6,2017-06-17,A201706006,1.7,9,4,128,4
2017,6,2017-06-17,A201706007,4.4,8,6,199,NA
2017,6,2017-06-17,A201706008,4.4,9,6,204,NA
2017,6,2017-06-17,A201706009,4.3,13,7,140,3
2017,6,2017-06-17,A201706010,7.8,12,6,163,4
2017,6,2017-06-17,A201706011,7.4,8,6,200,4
2017,6,2017-06-17,A201706012,1.9,11,7,218,3
2017,6,2017-06-17,A201706013,3.3,14,9,243,4
2017,6,2017-06-17,A201706014,5.7,8,4,194,4
2017,6,2017-06-17,A201706015,6.4,12,6,243,4
2017,7,2017-07-09,A201707000,2.1,12,8,179,4
2017,7,2017-07-09,A201707001,1.6,13,8,240,2
2017,7,2017-07-09,A201707002,7.2,2,1,206,4
2017,7,2017-07-09,A201707003,1.9,9,4,224,4
2017,7,2017-07-09,A201707004,6.1,2,1,176,3
2017,7,2017-07-09,A201707005,4.0,7,3,218,3
2017,7,2017-07-09,A201707006,3.3,9,5,175,NA
2017,7,2017-07-09,A201707007,4.6,10,6,238,4
2017,7,2017-07-09,A201707008,6.6,8,4,187,3
2017,7,2017-07-09,A201707009,4.2,11,7,150,2
2017,7,2017-07-09,A201707010,5.9,7,5,210,2
2017,7,2017-07-09,A201707011,5.2,7,4,230,3
2017,7,2017-07-09,A201707012,5.3,0,0,NA,3
2017,7,2017-07-09,A201707013,2.7,5,1,185,3
2017,7,2017-07-09,A201707014,3.5,16,8,174,3
2017,7,2017-07-09,A201707015,2.0,6,2,206,4
2017,7,2017-07-09,A201707016,5.3,10,6,240,3
2017,7,2017-07-09,A201707017,2.5,17,10,163,2
2017,7,2017-07-09,A201707018,3.2,5,4,227,4
2017,8,2017-08-20,A201708000,4.6,7,4,188,4
2017,8,2017-08-20,A201708001,1.5,9,5,205,2
2017,8,2017-08-20,A201708002,2.6,13,8,182,2
2017,8,2017-08-20,A201708003,2.9,14,8,225,3
2017,8,2017-08-20,A201708004,6.0,6,4,176,3
2017,8,2017-08-20,A201708005,4.2,14,9,184,4
2017,8,2017-08-20,A201708006,1.7,7,2,188,3
2017,8,2017-08-20,A201708007,7.5,12,8,185,5
2017,8,2017-08-20,A201708008,7.5,9,4,140,3
2017,8,2017-08-20,A201708009,3.8,0,0,NA,2
2017,8,2017-08-20,A201708010,1.8,9,5,221,4
2017,8,2017-08-20,A201708011,2.5,7,4,184,4
2017,8,2017-08-20,A201708012,1.8,12,7,207,3
2017,9,2017-09-24,A201709000,3.0,12,8,186,3
2017,9,2017-09-24,A201709001,3.2,12,7,208,3
2017,9,2017-09-24,A201709002,3.6,7,1,282,3
2017,9,2017-09-24,A201709003,7.6,13,7,229,3
2017,9,2017-09-24,A201709004,2.8,14,9,215,2
2017,9,2017-09-24,A201709005,1.5,8,3,228,NA
2017,9,2017-09-24,A201709006,6.6,8,5,210,3
2017,9,2017-09-24,A201709007,6.8,8,5,215,3
2017,9,2017-09-24,A201709008,3.5,7,5,243,4
2017,9,2017-09-24,A201709009,2.7,4,3,151,3
2017,9,2017-09-24,A201709010,3.3,8,4,203,3
2017,9,2017-09-24,A201709011,2.1,8,5,164,3
2017,9,2017-09-24,A201709012,5.1,5,3,210,3
2017,9,2017-09-24,A201709013,3.1,12,6,269,3
2017,9,2017-09-24,A201709014,4.9,5,5,254,3
2017,9,2017-09-24,A201709015,7.7,10,5,154,NA
2017,10,2017-10-24,A201710000,6.8,3,0,211,3
2017,10,2017-10-24,A201710001,7.3,5,3,167,4
2017,10,2017-10-24,A201710002,3.0,8,4,190,3
2017,10,2017-10-24,A201710003,3.2,7,5,168,4
2017,10,2017-10-24,A201710004,5.0,3,2,246,3
2017,10,2017-10-24,A201710005,3.0,8,3,194,3
2017,10,2017-10-24,A201710006,2.9,5,4,230,2
2017,10,2017-10-24,A201710007,3.9,16,10,196,4
2017,10,2017-10-24,A201710008,4.6,6,5,194,3
2017,10,2017-10-24,A201710009,7.3,12,8,185,3
2017,10,2017-10-24,A201710010,3.8,12,9,210,2
2018,4,2018-04-15,A201804000,6.0,5,2,227,4
2018,4,2018-04-15,A201804001,6.0,8,6,183,4
2018,4,2018-04-15,A201804002,1.8,1,0,227,NA
2018,4,2018-04-15,A201804003,7.3,13,7,238,3
2018,4,2018-04-15,A201804004,6.6,2,1,229,4
2018,4,2018-04-15,A201804005,6.5,9,3,204,3
2018,4,2018-04-15,A201804006,4.8,6,3,220,3
2018,4,2018-04-15,A201804007,1.7,9,6,186,3
2018,4,2018-04-15,A201804008,7.0,19,13,192,3
2018,4,2018-04-15,A201804009,4.4,11,6,240,4
2018,4,2018-04-15,A201804010,5.1,14,8,244,NA
2018,4,2018-04-15,A201804011,3.5,7,4,283,3
2018,4,2018-04-15,A201804012,5.1,12,6,149,4
2018,4,2018-04-15,A201804013,3.5,16,10,194,4
2018,4,2018-04-15,A201804014,6.0,7,3,251,2
2018,4,2018-04-15,A201804015,4.1,7,3,219,NA
2018,4,2018-04-15,A201804016,6.8,9,6,178,4
2018,4,2018-04-15,A201804017,7.2,1,0,167,3
2018,5,2018-05-15,A201805000,6.9,16,10,169,5
2018,5,2018-05-15,A201805001,3.0,9,6,203,3
2018,5,2018-05-15,A201805002,5.6,5,3,184,3
2018,5,2018-05-15,A201805003,6.9,15,7,185,5
2018,5,2018-05-15,A201805004,6.0,10,5,174,3
2018,5,2018-05-15,A201805005,6.5,11,6,221,NA
2018,5,2018-05-15,A201805006,7.6,10,6,193,3
2018,5,2018-05-15,A201805007,4.5,8,4,161,NA
2018,5,2018-05-15,A201805008,3.2,3,1,171,3
2018,5,2018-05-15,A201805009,5.5,8,5,171,3
2018,5,2018-05-15,A201805010,4.4,12,9,175,NA
2018,5,2018-05-15,A201805011,7.9,7,2,238,3
2018,5,2018-05-15,A201805012,5.4,5,2,187,3
2018,5,2018-05-15,A201805013,2.6,9,5,188,3
2018,6,2018-06-21,A201806000,5.1,7,3,224,3
2018,6,2018-06-21,A201806001,7.3,6,5,247,3
2018,6,2018-06-21,A201806002,1.6,8,5,178,4
2018,6,2018-06-21,A201806003,3.3,7,2,239,3
2018,6,2018-06-21,A201806004,4.5,15,9,165,2
2018,6,2018-06-21,A201806005,1.5,13,7,241,3
2018,6,2018-06-21,A201806006,4.8,8,4,168,5
2018,6,2018-06-21,A201806007,7.4,4,1,229,4
2018,6,2018-06-21,A201806008,6.4,10,5,164,4
2018,7,2018-07-24,A201807000,3.8,12,6,165,2
2018,7,2018-07-24,A201807001,6.6,10,6,184,4
2018,7,2018-07-24,A201807002,3.1,7,4,187,3
2018,7,2018-07-24,A201807003,7.6,8,3,158,4
2018,7,2018-07-24,A201807004,2.5,11,6,169,4
2018,7,2018-07-24,A201807005,4.8,1,0,239,4
2018,7,2018-07-24,A201807006,5.8,9,5,209,2
2018,7,2018-07-24,A201807007,7.6,6,2,179,3
2018,7,2018-07-24,A201807008,2.5,8,4,221,3
2018,7,2018-07-24,A201807009,7.0,11,5,233,3
2018,7,2018-07-24,A201807010,3.7,9,5,232,4
2018,7,2018-07-24,A201807011,3.8,13,9,211,4
2018,8,2018-08-07,A201808000,7.2,9,6,165,4
2018,8,2018-08-07,A201808001,6.1,5,3,173,5
2018,8,2018-08-07,A201808002,3.2,7,5,209,3
2018,8,2018-08-07,A201808003,7.0,10,6,221,2
2018,8,2018-08-07,A201808004,1.7,2,2,203,4
2018,8,2018-08-07,A201808005,7.8,9,5,155,3
2018,8,2018-08-07,A201808006,6.8,8,5,205,4
2018,8,2018-08-07,A201808007,3.0,6,3,162,NA
2018,8,2018-08-07,A201808008,2.4,12,7,212,NA
2018,9,2018-09-10,A201809000,2.6,8,4,197,3
2018,9,2018-09-10,A201809001,2.9,9,5,246,4
2018,9,2018-09-10,A201809002,4.2,8,5,226,3
2018,9,2018-09-10,A201809003,6.0,9,3,230,3
2018,9,2018-09-10,A201809004,5.3,22,13,211,NA
2018,9,2018-09-10,A201809005,6.7,10,5,186,2
2018,9,2018-09-10,A201809006,5.6,12,5,191,3
2018,9,2018-09-10,A201809007,7.7,10,5,182,4
2018,9,2018-09-10,A201809008,5.5,12,7,152,3
2018,9,2018-09-10,A201809009,4.8,13,9,194,3
2018,9,2018-09-10,A201809010,7.1,11,7,179,3
2018,9,2018-09-10,A201809011,7.7,12,7,232,4
2018,9,2018-09-10,A201809012,2.6,10,6,199,3
2018,9,2018-09-10,A201809013,4.1,1,0,195,4
2018,10,2018-10-18,A201810000,4.3,15,8,247,3
2018,10,2018-10-18,A201810001,2.4,14,11,176,4
2018,10,2018-10-18,A201810002,1.6,1,1,190,3
2018,10,2018-10-18,A201810003,5.4,3,2,202,3
2018,10,2018-10-18,A201810004,5.4,5,3,239,4
2018,10,2018-10-18,A201810005,4.0,4,3,189,3
2018,10,2018-10-18,A201810006,1.6,5,3,263,4
2018,10,2018-10-18,A201810007,6.6,12,6,227,2
2018,10,2018-10-18,A201810008,6.7,14,9,210,5
2018,10,2018-10-18,A201810009,6.5,1,1,298,NA
2018,10,2018-10-18,A201810010,1.6,4,2,217,3
2018,10,2018-10-18,A201810011,6.8,14,7,169,2
2018,10,2018-10-18,A201810012,1.7,3,2,210,2
2018,10,2018-10-18,A201810013,5.3,3,2,226,3
2018,10,2018-10-18,A201810014,4.1,9,5,165,3
2018,10,2018-10-18,A201810015,1.9,2,2,163,2
2018,10,2018-10-18,A201810016,6.3,5,1,178,4
2018,10,2018-10-18,A201810017,2.8,16,9,205,3
2019,4,2019-04-18,A201904000,3.0,5,1,178,3
2019,4,2019-04-18,A201904001,7.9,12,7,221,1
2019,4,2019-04-18,A201904002,4.3,9,5,222,NA
2019,4,2019-04-18,A201904003,2.7,13,7,170,4
2019,4,2019-04-18,A201904004,7.5,9,5,185,2
2019,4,2019-04-18,A201904005,2.6,3,3,239,3
2019,4,2019-04-18,A201904006,5.2,3,0,200,3
2019,4,2019-04-18,A201904007,7.8,4,2,217,3
2019,4,2019-04-18,A201904008,4.7,7,4,132,3
2019,4,2019-04-18,A201904009,7.4,9,6,139,3
2019,4,2019-04-18,A201904010,5.0,3,0,214,3
2019,4,2019-04-18,A201904011,6.1,8,6,142,3
2019,4,2019-04-18,A201904012,2.2,9,4,217,3
2019,4,2019-04-18,A201904013,3.9,17,11,206,3
2019,4,2019-04-18,A201904014,7.4,6,4,206,NA
2019,4,2019-04-18,A201904015,5.6,11,7,204,3
2019,4,2019-04-18,A201904016,7.6,7,4,152,1
2019,4,2019-04-18,A201904017,3.9,8,4,240,3
2019,5,2019-05-18,A201905000,4.4,8,5,199,2
2019,5,2019-05-18,A201905001,2.6,8,4,188,4
2019,5,2019-05-18,A201905002,4.4,19,11,257,4
2019,5,2019-05-18,A201905003,4.1,11,4,176,3
2019,5,2019-05-18,A201905004,3.3,4,2,175,4
2019,5,2019-05-18,A201905005,5.5,6,3,192,3
2019,5,2019-05-18,A201905006,7.3,13,6,238,2
2019,5,2019-05-18,A201905007,5.0,13,6,210,2
2019,5,2019-05-18,A201905008,5.9,13,7,212,3
2019,5,2019-05-18,A201905009,6.3,13,8,206,2
2019,5,2019-05-18,A201905010,6.4,3,0,224,2
2019,5,2019-05-18,A201905011,4.0,10,6,209,NA
2019,5,2019-05-18,A201905012,2.5,12,5,125,3
2019,5,2019-05-18,A201905013,2.5,13,8,191,NA
2019,5,2019-05-18,A201905014,8.0,10,5,200,3
2019,6,2019-06-22,A201906000,2.2,9,5,203,3
2019,6,2019-06-22,A201906001,5.6,10,5,216,3
2019,6,2019-06-22,A201906002,6.9,15,8,184,2
2019,6,2019-06-22,A201906003,5.8,12,7,224,2
2019,6,2019-06-22,A201906004,3.4,15,9,188,2
2019,6,2019-06-22,A201906005,2.9,10,5,215,3
2019,6,2019-06-22,A201906006,7.2,6,3,176,4
2019,6,2019-06-22,A201906007,5.9,10,5,218,2
2019,6,2019-06-22,A201906008,5.5,2,1,249,3
2019,6,2019-06-22,A201906009,1.9,11,7,202,3
2019,6,2019-06-22,A201906010,2.9,8,4,180,3
2019,6,2019-06-22,A201906011,2.6,4,2,227,NA
2019,7,2019-07-24,A201907000,7.4,5,3,110,2
2019,7,2019-07-24,A201907001,4.7,6,3,211,3
2019,7,2019-07-24,A201907002,5.4,9,4,181,4
2019,7,2019-07-24,A201907003,5.7,3,2,156,2
2019,7,2019-07-24,A201907004,1.9,10,6,196,3
2019,7,2019-07-24,A201907005,4.3,4,2,276,4
2019,7,2019-07-24,A201907006,5.9,8,4,210,2
2019,7,2019-07-24,A201907007,2.8,8,5,169,3
2019,7,2019-07-24,A201907008,6.6,14,8,215,3
2019,7,2019-07-24,A201907009,2.4,1,0,156,4
2019,7,2019-07-24,A201907010,5.8,6,3,149,2
2019,7,2019-07-24,A201907011,6.8,5,2,234,2
2019,7,2019-07-24,A201907012,5.2,11,5,210,2
2019,7,2019-07-24,A201907013,6.5,16,10,149,3
