# bass_electrofishing.csv
# Pine Bluff Reservoir - Largemouth Bass Fall Electrofishing Survey Data
# Columns:
#   year: Year of sampling (integer, YYYY)
#   sample_date: Date of electrofishing run (YYYY-MM-DD)
#   site: Sampling site identifier (character, e.g., S01-S08)
#   effort_seconds: Electrofishing effort in seconds per run
#   fish_id: Unique fish identifier within that run
#   total_length_mm: Total length of individual fish in millimeters
#   weight_g: Weight of individual fish in grams; NA if not weighed
#   cpue_fish_per_hr: Catch per unit effort (fish per hour) for the site-year; same for all fish in a site-year
# Units: length in mm, weight in g, effort in seconds, CPUE in fish/hr
# Missing values coded as NA
year,sample_date,site,effort_seconds,fish_id,total_length_mm,weight_g,cpue_fish_per_hr
2014,2014-10-25,S03,836,F00024,391,827.3,73.2
2014,2014-10-25,S03,836,F00025,405,902.1,73.2
2014,2014-10-25,S03,836,F00026,243,220.4,73.2
2014,2014-10-25,S03,836,F00027,318,487.0,73.2
2014,2014-10-25,S03,836,F00028,235,212.5,73.2
2014,2014-10-25,S03,836,F00029,185,97.2,73.2
2014,2014-10-25,S03,836,F00030,325,456.6,73.2
2014,2014-10-25,S03,836,F00031,255,245.4,73.2
2014,2014-10-25,S03,836,F00032,275,279.4,73.2
2014,2014-10-25,S03,836,F00033,432,1092.9,73.2
2014,2014-10-25,S03,836,F00034,277,332.1,73.2
2014,2014-10-25,S04,974,F00035,307,362.3,33.3
2014,2014-10-25,S04,974,F00036,365,778.6,33.3
2014,2014-10-25,S04,974,F00037,327,457.1,33.3
2014,2014-10-25,S04,974,F00038,225,178.0,33.3
2014,2014-10-25,S04,974,F00039,344,545.5,33.3
2014,2014-10-25,S04,974,F00040,393,1036.5,33.3
2014,2014-10-25,S04,974,F00041,244,183.7,33.3
2014,2014-10-25,S04,974,F00042,266,311.8,33.3
2014,2014-10-25,S04,974,F00043,323,NA,33.3
2014,2014-10-25,S05,1174,F00044,379,899.3,46.0
2014,2014-10-25,S05,1174,F00045,279,331.0,46.0
2014,2014-10-25,S05,1174,F00046,311,398.7,46.0
2014,2014-10-25,S05,1174,F00047,158,60.5,46.0
2014,2014-10-25,S05,1174,F00048,191,102.4,46.0
2014,2014-10-25,S05,1174,F00049,223,151.1,46.0
2014,2014-10-25,S05,1174,F00050,390,885.1,46.0
2014,2014-10-25,S05,1174,F00051,335,568.0,46.0
2014,2014-10-25,S05,1174,F00052,326,437.5,46.0
2014,2014-10-25,S05,1174,F00053,347,536.1,46.0
2014,2014-10-25,S05,1174,F00054,330,535.6,46.0
2014,2014-10-25,S05,1174,F00055,220,160.6,46.0
2014,2014-10-25,S05,1174,F00056,329,540.4,46.0
2014,2014-10-25,S05,1174,F00057,239,171.2,46.0
2014,2014-10-25,S05,1174,F00058,333,524.6,46.0
2014,2014-10-25,S06,1173,F00059,213,119.7,24.6
2014,2014-10-25,S06,1173,F00060,115,18.9,24.6
2014,2014-10-25,S06,1173,F00061,320,477.0,24.6
2014,2014-10-25,S06,1173,F00062,371,717.5,24.6
2014,2014-10-25,S06,1173,F00063,396,1044.1,24.6
2014,2014-10-25,S06,1173,F00064,279,273.3,24.6
2014,2014-10-25,S06,1173,F00065,428,1354.0,24.6
2014,2014-10-25,S06,1173,F00066,139,32.3,24.6
2014,2014-10-25,S07,909,F00067,297,370.0,83.2
2014,2014-10-25,S07,909,F00068,336,524.4,83.2
2014,2014-10-25,S07,909,F00069,239,221.7,83.2
2014,2014-10-25,S07,909,F00070,343,611.7,83.2
2014,2014-10-25,S07,909,F00071,357,777.5,83.2
2014,2014-10-25,S07,909,F00072,375,804.8,83.2
2014,2014-10-25,S07,909,F00073,419,1124.4,83.2
2014,2014-10-25,S07,909,F00074,357,611.6,83.2
2014,2014-10-25,S07,909,F00075,364,744.9,83.2
2014,2014-10-25,S07,909,F00076,344,558.9,83.2
2014,2014-10-25,S07,909,F00077,366,757.6,83.2
2014,2014-10-25,S07,909,F00078,281,315.2,83.2
2014,2014-10-25,S07,909,F00079,135,29.9,83.2
2014,2014-10-25,S07,909,F00080,293,339.2,83.2
2014,2014-10-25,S07,909,F00081,288,329.5,83.2
2014,2014-10-25,S07,909,F00082,260,221.0,83.2
2014,2014-10-25,S07,909,F00083,586,2789.8,83.2
2014,2014-10-25,S07,909,F00084,317,437.3,83.2
2014,2014-10-25,S07,909,F00085,440,1257.4,83.2
2014,2014-10-25,S07,909,F00086,208,139.0,83.2
2014,2014-10-25,S07,909,F00087,139,NA,83.2
2014,2014-10-25,S08,1083,F00088,167,71.9,39.9
2014,2014-10-25,S08,1083,F00089,365,815.8,39.9
2014,2014-10-25,S08,1083,F00090,276,273.8,39.9
2014,2014-10-25,S08,1083,F00091,337,601.5,39.9
2014,2014-10-25,S08,1083,F00092,391,906.8,39.9
2014,2014-10-25,S08,1083,F00093,341,614.6,39.9
2014,2014-10-25,S08,1083,F00094,305,360.1,39.9
2014,2014-10-25,S08,1083,F00095,472,1463.6,39.9
2014,2014-10-25,S08,1083,F00096,483,1858.4,39.9
2014,2014-10-25,S08,1083,F00097,467,1666.1,39.9
2014,2014-10-25,S08,1083,F00098,444,1158.7,39.9
2014,2014-10-25,S08,1083,F00099,239,168.1,39.9
2015,2015-10-06,S01,983,F00100,288,367.8,40.3
2015,2015-10-06,S01,983,F00101,253,259.0,40.3
2015,2015-10-06,S01,983,F00102,397,1020.5,40.3
2015,2015-10-06,S01,983,F00103,319,523.0,40.3
2015,2015-10-06,S01,983,F00104,363,699.1,40.3
2015,2015-10-06,S01,983,F00105,440,1273.9,40.3
2015,2015-10-06,S01,983,F00106,252,246.1,40.3
2015,2015-10-06,S01,983,F00107,383,NA,40.3
2015,2015-10-06,S01,983,F00108,420,1121.8,40.3
2015,2015-10-06,S01,983,F00109,380,907.9,40.3
2015,2015-10-06,S01,983,F00110,279,289.6,40.3
2015,2015-10-06,S02,1004,F00111,310,474.8,46.6
2015,2015-10-06,S02,1004,F00112,345,614.4,46.6
2015,2015-10-06,S02,1004,F00113,355,574.9,46.6
2015,2015-10-06,S02,1004,F00114,256,224.2,46.6
2015,2015-10-06,S02,1004,F00115,338,591.4,46.6
2015,2015-10-06,S02,1004,F00116,313,491.1,46.6
2015,2015-10-06,S02,1004,F00117,355,750.1,46.6
2015,2015-10-06,S02,1004,F00118,312,386.5,46.6
2015,2015-10-06,S02,1004,F00119,172,73.8,46.6
2015,2015-10-06,S02,1004,F00120,297,411.2,46.6
2015,2015-10-06,S02,1004,F00121,138,39.6,46.6
2015,2015-10-06,S02,1004,F00122,397,996.0,46.6
2015,2015-10-06,S02,1004,F00123,393,965.9,46.6
2015,2015-10-06,S03,1156,F00124,260,257.6,37.4
2015,2015-10-06,S03,1156,F00125,276,328.1,37.4
2015,2015-10-06,S03,1156,F00126,248,223.3,37.4
2015,2015-10-06,S03,1156,F00127,350,585.1,37.4
2015,2015-10-06,S03,1156,F00128,257,252.3,37.4
2015,2015-10-06,S03,1156,F00129,203,117.5,37.4
2015,2015-10-06,S03,1156,F00130,358,782.5,37.4
2015,2015-10-06,S03,1156,F00131,280,335.1,37.4
2015,2015-10-06,S03,1156,F00132,261,225.2,37.4
2015,2015-10-06,S03,1156,F00133,322,539.5,37.4
2015,2015-10-06,S03,1156,F00134,384,739.2,37.4
2015,2015-10-06,S03,1156,F00135,211,130.4,37.4
2015,2015-10-06,S04,1094,F00136,227,176.8,36.2
2015,2015-10-06,S04,1094,F00137,279,333.7,36.2
2015,2015-10-06,S04,1094,F00138,342,660.7,36.2
2015,2015-10-06,S04,1094,F00139,325,554.9,36.2
2015,2015-10-06,S04,1094,F00140,260,250.8,36.2
2015,2015-10-06,S04,1094,F00141,351,575.4,36.2
2015,2015-10-06,S04,1094,F00142,295,379.4,36.2
2015,2015-10-06,S04,1094,F00143,260,249.1,36.2
2015,2015-10-06,S04,1094,F00144,438,1441.8,36.2
2015,2015-10-06,S04,1094,F00145,388,793.5,36.2
2015,2015-10-06,S04,1094,F00146,267,271.3,36.2
2015,2015-10-06,S05,1126,F00147,325,527.9,38.4
2015,2015-10-06,S05,1126,F00148,219,129.6,38.4
2015,2015-10-06,S05,1126,F00149,306,426.5,38.4
2015,2015-10-06,S05,1126,F00150,385,793.2,38.4
2015,2015-10-06,S05,1126,F00151,308,418.1,38.4
2015,2015-10-06,S05,1126,F00152,287,336.3,38.4
2015,2015-10-06,S05,1126,F00153,163,60.5,38.4
2015,2015-10-06,S05,1126,F00154,399,1067.6,38.4
2015,2015-10-06,S05,1126,F00155,309,415.1,38.4
2015,2015-10-06,S05,1126,F00156,321,541.1,38.4
2015,2015-10-06,S05,1126,F00157,200,113.3,38.4
2015,2015-10-06,S05,1126,F00158,380,758.8,38.4
2015,2015-10-06,S06,1023,F00159,387,923.9,52.8
2015,2015-10-06,S06,1023,F00160,329,475.2,52.8
2015,2015-10-06,S06,1023,F00161,393,789.3,52.8
2015,2015-10-06,S06,1023,F00162,396,NA,52.8
2015,2015-10-06,S06,1023,F00163,289,NA,52.8
2015,2015-10-06,S06,1023,F00164,282,314.7,52.8
2015,2015-10-06,S06,1023,F00165,253,224.4,52.8
2015,2015-10-06,S06,1023,F00166,435,1388.5,52.8
2015,2015-10-06,S06,1023,F00167,329,534.6,52.8
2015,2015-10-06,S06,1023,F00168,323,476.4,52.8
2015,2015-10-06,S06,1023,F00169,338,618.5,52.8
2015,2015-10-06,S06,1023,F00170,202,NA,52.8
2015,2015-10-06,S06,1023,F00171,339,609.5,52.8
2015,2015-10-06,S06,1023,F00172,349,581.4,52.8
2015,2015-10-06,S06,1023,F00173,321,505.0,52.8
2015,2015-10-06,S07,858,F00174,267,301.8,83.9
2015,2015-10-06,S07,858,F00175,330,503.2,83.9
2015,2015-10-06,S07,858,F00176,327,589.6,83.9
2015,2015-10-06,S07,858,F00177,309,459.3,83.9
2015,2015-10-06,S07,858,F00178,284,294.0,83.9
2015,2015-10-06,S07,858,F00179,379,728.1,83.9
2015,2015-10-06,S07,858,F00180,228,182.5,83.9
2015,2015-10-06,S07,858,F00181,246,213.7,83.9
2015,2015-10-06,S07,858,F00182,349,701.7,83.9
2015,2015-10-06,S07,858,F00183,476,1740.5,83.9
2015,2015-10-06,S07,858,F00184,441,1399.9,83.9
2015,2015-10-06,S07,858,F00185,294,346.3,83.9
2015,2015-10-06,S07,858,F00186,109,17.0,83.9
2015,2015-10-06,S07,858,F00187,196,97.7,83.9
2015,2015-10-06,S07,858,F00188,367,816.7,83.9
2015,2015-10-06,S07,858,F00189,360,692.3,83.9
2015,2015-10-06,S07,858,F00190,275,NA,83.9
2015,2015-10-06,S07,858,F00191,346,564.8,83.9
2015,2015-10-06,S07,858,F00192,275,287.5,83.9
2015,2015-10-06,S07,858,F00193,296,324.1,83.9
2015,2015-10-06,S08,843,F00194,254,251.2,47.0
2015,2015-10-06,S08,843,F00195,322,515.6,47.0
2015,2015-10-06,S08,843,F00196,193,108.8,47.0
2015,2015-10-06,S08,843,F00197,337,536.3,47.0
2015,2015-10-06,S08,843,F00198,436,1261.6,47.0
2015,2015-10-06,S08,843,F00199,197,101.2,47.0
2015,2015-10-06,S08,843,F00200,375,740.1,47.0
2015,2015-10-06,S08,843,F00201,353,583.0,47.0
2015,2015-10-06,S08,843,F00202,351,697.4,47.0
2015,2015-10-06,S08,843,F00203,335,596.6,47.0
2015,2015-10-06,S08,843,F00204,406,1025.7,47.0
2016,2016-10-08,S01,899,F00205,319,409.9,48.1
2016,2016-10-08,S01,899,F00206,361,658.0,48.1
2016,2016-10-08,S01,899,F00207,195,91.7,48.1
2016,2016-10-08,S01,899,F00208,271,287.7,48.1
2016,2016-10-08,S01,899,F00209,231,172.1,48.1
2016,2016-10-08,S01,899,F00210,271,249.6,48.1
2016,2016-10-08,S01,899,F00211,164,NA,48.1
2016,2016-10-08,S01,899,F00212,332,NA,48.1
2016,2016-10-08,S01,899,F00213,372,729.4,48.1
2016,2016-10-08,S01,899,F00214,394,821.1,48.1
2016,2016-10-08,S01,899,F00215,200,102.6,48.1
2016,2016-10-08,S01,899,F00216,224,156.9,48.1
2016,2016-10-08,S02,1101,F00217,273,304.9,45.8
2016,2016-10-08,S02,1101,F00218,416,1246.0,45.8
2016,2016-10-08,S02,1101,F00219,340,525.2,45.8
2016,2016-10-08,S02,1101,F00220,426,NA,45.8
2016,2016-10-08,S02,1101,F00221,209,120.2,45.8
2016,2016-10-08,S02,1101,F00222,344,644.8,45.8
2016,2016-10-08,S02,1101,F00223,195,116.4,45.8
2016,2016-10-08,S02,1101,F00224,346,641.4,45.8
2016,2016-10-08,S02,1101,F00225,388,895.7,45.8
2016,2016-10-08,S02,1101,F00226,277,346.7,45.8
2016,2016-10-08,S02,1101,F00227,355,631.1,45.8
2016,2016-10-08,S02,1101,F00228,332,554.8,45.8
2016,2016-10-08,S02,1101,F00229,398,1014.2,45.8
2016,2016-10-08,S02,1101,F00230,398,957.0,45.8
2016,2016-10-08,S03,841,F00231,394,877.8,72.8
2016,2016-10-08,S03,841,F00232,333,481.3,72.8
2016,2016-10-08,S03,841,F00233,365,829.2,72.8
2016,2016-10-08,S03,841,F00234,222,162.8,72.8
2016,2016-10-08,S03,841,F00235,442,1315.5,72.8
2016,2016-10-08,S03,841,F00236,345,689.1,72.8
2016,2016-10-08,S03,841,F00237,214,137.7,72.8
2016,2016-10-08,S03,841,F00238,253,222.2,72.8
2016,2016-10-08,S03,841,F00239,236,177.8,72.8
2016,2016-10-08,S03,841,F00240,173,66.6,72.8
2016,2016-10-08,S03,841,F00241,351,637.8,72.8
2016,2016-10-08,S03,841,F00242,218,138.5,72.8
2016,2016-10-08,S03,841,F00243,232,203.7,72.8
2016,2016-10-08,S03,841,F00244,366,746.1,72.8
2016,2016-10-08,S03,841,F00245,340,630.4,72.8
2016,2016-10-08,S03,841,F00246,382,907.6,72.8
2016,2016-10-08,S03,841,F00247,137,33.7,72.8
2016,2016-10-08,S04,862,F00248,256,275.8,33.4
2016,2016-10-08,S04,862,F00249,315,468.3,33.4
2016,2016-10-08,S04,862,F00250,358,603.7,33.4
2016,2016-10-08,S04,862,F00251,388,782.4,33.4
2016,2016-10-08,S04,862,F00252,265,268.9,33.4
2016,2016-10-08,S04,862,F00253,248,240.7,33.4
2016,2016-10-08,S04,862,F00254,308,397.0,33.4
2016,2016-10-08,S04,862,F00255,177,76.6,33.4
2016,2016-10-08,S05,835,F00256,432,1336.9,51.7
2016,2016-10-08,S05,835,F00257,236,NA,51.7
2016,2016-10-08,S05,835,F00258,430,1300.6,51.7
2016,2016-10-08,S05,835,F00259,209,142.3,51.7
2016,2016-10-08,S05,835,F00260,255,237.5,51.7
2016,2016-10-08,S05,835,F00261,318,536.8,51.7
2016,2016-10-08,S05,835,F00262,234,208.8,51.7
2016,2016-10-08,S05,835,F00263,195,100.5,51.7
2016,2016-10-08,S05,835,F00264,417,1097.8,51.7
2016,2016-10-08,S05,835,F00265,136,36.5,51.7
2016,2016-10-08,S05,835,F00266,474,1478.4,51.7
2016,2016-10-08,S05,835,F00267,457,1398.7,51.7
2016,2016-10-08,S06,1025,F00268,459,1504.7,31.6
2016,2016-10-08,S06,1025,F00269,297,401.7,31.6
2016,2016-10-08,S06,1025,F00270,231,173.7,31.6
2016,2016-10-08,S06,1025,F00271,247,225.7,31.6
2016,2016-10-08,S06,1025,F00272,416,1214.6,31.6
2016,2016-10-08,S06,1025,F00273,261,273.4,31.6
2016,2016-10-08,S06,1025,F00274,359,NA,31.6
2016,2016-10-08,S06,1025,F00275,414,1218.8,31.6
2016,2016-10-08,S06,1025,F00276,359,745.0,31.6
2016,2016-10-08,S07,850,F00277,203,115.1,84.7
2016,2016-10-08,S07,850,F00278,191,NA,84.7
2016,2016-10-08,S07,850,F00279,331,518.2,84.7
2016,2016-10-08,S07,850,F00280,248,220.8,84.7
2016,2016-10-08,S07,850,F00281,324,440.0,84.7
2016,2016-10-08,S07,850,F00282,264,275.4,84.7
2016,2016-10-08,S07,850,F00283,349,627.7,84.7
2016,2016-10-08,S07,850,F00284,288,NA,84.7
2016,2016-10-08,S07,850,F00285,369,796.0,84.7
2016,2016-10-08,S07,850,F00286,149,43.8,84.7
2016,2016-10-08,S07,850,F00287,214,134.9,84.7
2016,2016-10-08,S07,850,F00288,252,253.8,84.7
2016,2016-10-08,S07,850,F00289,243,189.1,84.7
2016,2016-10-08,S07,850,F00290,372,792.4,84.7
2016,2016-10-08,S07,850,F00291,250,234.9,84.7
2016,2016-10-08,S07,850,F00292,524,2301.7,84.7
2016,2016-10-08,S07,850,F00293,311,457.4,84.7
2016,2016-10-08,S07,850,F00294,286,382.6,84.7
2016,2016-10-08,S07,850,F00295,345,585.5,84.7
2016,2016-10-08,S07,850,F00296,207,129.0,84.7
2016,2016-10-08,S08,1169,F00297,229,177.1,61.6
2016,2016-10-08,S08,1169,F00298,183,88.5,61.6
2016,2016-10-08,S08,1169,F00299,213,145.6,61.6
2016,2016-10-08,S08,1169,F00300,350,601.4,61.6
2016,2016-10-08,S08,1169,F00301,331,544.8,61.6
2016,2016-10-08,S08,1169,F00302,350,646.7,61.6
2016,2016-10-08,S08,1169,F00303,341,648.3,61.6
2016,2016-10-08,S08,1169,F00304,258,270.2,61.6
2016,2016-10-08,S08,1169,F00305,291,410.3,61.6
2016,2016-10-08,S08,1169,F00306,345,698.4,61.6
2016,2016-10-08,S08,1169,F00307,275,344.3,61.6
2016,2016-10-08,S08,1169,F00308,91,9.2,61.6
2016,2016-10-08,S08,1169,F00309,410,1035.6,61.6
2016,2016-10-08,S08,1169,F00310,320,509.6,61.6
2016,2016-10-08,S08,1169,F00311,395,824.8,61.6
2016,2016-10-08,S08,1169,F00312,141,32.2,61.6
2016,2016-10-08,S08,1169,F00313,147,NA,61.6
2016,2016-10-08,S08,1169,F00314,245,231.0,61.6
2016,2016-10-08,S08,1169,F00315,285,301.1,61.6
2016,2016-10-08,S08,1169,F00316,389,838.7,61.6
2017,2017-10-08,S01,920,F00317,230,166.2,86.1
2017,2017-10-08,S01,920,F00318,289,373.3,86.1
2017,2017-10-08,S01,920,F00319,198,120.9,86.1
2017,2017-10-08,S01,920,F00320,240,217.2,86.1
2017,2017-10-08,S01,920,F00321,368,792.1,86.1
2017,2017-10-08,S01,920,F00322,283,324.7,86.1
2017,2017-10-08,S01,920,F00323,161,54.6,86.1
2017,2017-10-08,S01,920,F00324,479,NA,86.1
2017,2017-10-08,S01,920,F00325,273,334.9,86.1
2017,2017-10-08,S01,920,F00326,515,1876.4,86.1
2017,2017-10-08,S01,920,F00327,171,59.3,86.1
2017,2017-10-08,S01,920,F00328,144,46.0,86.1
2017,2017-10-08,S01,920,F00329,349,645.4,86.1
2017,2017-10-08,S01,920,F00330,452,1556.9,86.1
2017,2017-10-08,S01,920,F00331,329,543.5,86.1
2017,2017-10-08,S01,920,F00332,168,74.3,86.1
2017,2017-10-08,S01,920,F00333,169,58.4,86.1
2017,2017-10-08,S01,920,F00334,272,259.6,86.1
2017,2017-10-08,S01,920,F00335,333,468.9,86.1
2017,2017-10-08,S01,920,F00336,204,105.6,86.1
2017,2017-10-08,S01,920,F00337,329,520.1,86.1
2017,2017-10-08,S01,920,F00338,326,527.8,86.1
2017,2017-10-08,S02,913,F00339,442,1473.4,67.0
2017,2017-10-08,S02,913,F00340,345,605.0,67.0
2017,2017-10-08,S02,913,F00341,392,885.7,67.0
2017,2017-10-08,S02,913,F00342,342,594.5,67.0
2017,2017-10-08,S02,913,F00343,337,NA,67.0
2017,2017-10-08,S02,913,F00344,322,460.7,67.0
2017,2017-10-08,S02,913,F00345,240,226.8,67.0
2017,2017-10-08,S02,913,F00346,286,336.5,67.0
2017,2017-10-08,S02,913,F00347,409,1152.1,67.0
2017,2017-10-08,S02,913,F00348,380,895.1,67.0
2017,2017-10-08,S02,913,F00349,327,476.1,67.0
2017,2017-10-08,S02,913,F00350,393,907.1,67.0
2017,2017-10-08,S02,913,F00351,377,848.0,67.0
2017,2017-10-08,S02,913,F00352,355,600.0,67.0
2017,2017-10-08,S02,913,F00353,445,1190.1,67.0
2017,2017-10-08,S02,913,F00354,369,809.8,67.0
2017,2017-10-08,S02,913,F00355,208,128.7,67.0
2017,2017-10-08,S03,862,F00356,271,275.8,58.5
2017,2017-10-08,S03,862,F00357,308,458.6,58.5
2017,2017-10-08,S03,862,F00358,146,43.1,58.5
2017,2017-10-08,S03,862,F00359,259,262.2,58.5
2017,2017-10-08,S03,862,F00360,281,285.0,58.5
2017,2017-10-08,S03,862,F00361,216,145.3,58.5
2017,2017-10-08,S03,862,F00362,408,1141.0,58.5
2017,2017-10-08,S03,862,F00363,353,NA,58.5
2017,2017-10-08,S03,862,F00364,207,140.5,58.5
2017,2017-10-08,S03,862,F00365,302,429.0,58.5
2017,2017-10-08,S03,862,F00366,358,NA,58.5
2017,2017-10-08,S03,862,F00367,378,790.5,58.5
2017,2017-10-08,S03,862,F00368,232,NA,58.5
2017,2017-10-08,S03,862,F00369,306,411.3,58.5
2017,2017-10-08,S04,989,F00370,252,245.2,43.7
2017,2017-10-08,S04,989,F00371,277,267.4,43.7
2017,2017-10-08,S04,989,F00372,294,385.1,43.7
2017,2017-10-08,S04,989,F00373,291,358.7,43.7
2017,2017-10-08,S04,989,F00374,424,1086.4,43.7
2017,2017-10-08,S04,989,F00375,372,724.6,43.7
2017,2017-10-08,S04,989,F00376,363,715.1,43.7
2017,2017-10-08,S04,989,F00377,384,NA,43.7
2017,2017-10-08,S04,989,F00378,330,501.6,43.7
2017,2017-10-08,S04,989,F00379,347,NA,43.7
2017,2017-10-08,S04,989,F00380,354,713.1,43.7
2017,2017-10-08,S04,989,F00381,216,142.2,43.7
2017,2017-10-08,S05,981,F00382,393,891.5,33.0
2017,2017-10-08,S05,981,F00383,226,143.0,33.0
2017,2017-10-08,S05,981,F00384,342,583.6,33.0
2017,2017-10-08,S05,981,F00385,265,261.3,33.0
2017,2017-10-08,S05,981,F00386,256,217.7,33.0
2017,2017-10-08,S05,981,F00387,189,89.8,33.0
2017,2017-10-08,S05,981,F00388,338,506.8,33.0
2017,2017-10-08,S05,981,F00389,281,358.9,33.0
2017,2017-10-08,S05,981,F00390,326,470.5,33.0
2017,2017-10-08,S06,839,F00391,242,184.0,68.7
2017,2017-10-08,S06,839,F00392,234,174.3,68.7
2017,2017-10-08,S06,839,F00393,280,281.4,68.7
2017,2017-10-08,S06,839,F00394,272,263.2,68.7
2017,2017-10-08,S06,839,F00395,309,493.2,68.7
2017,2017-10-08,S06,839,F00396,276,302.1,68.7
2017,2017-10-08,S06,839,F00397,201,126.6,68.7
2017,2017-10-08,S06,839,F00398,250,257.0,68.7
2017,2017-10-08,S06,839,F00399,376,786.9,68.7
2017,2017-10-08,S06,839,F00400,295,390.7,68.7
2017,2017-10-08,S06,839,F00401,245,183.7,68.7
2017,2017-10-08,S06,839,F00402,267,237.2,68.7
2017,2017-10-08,S06,839,F00403,281,369.3,68.7
2017,2017-10-08,S06,839,F00404,419,1155.1,68.7
2017,2017-10-08,S06,839,F00405,134,NA,68.7
2017,2017-10-08,S06,839,F00406,211,148.3,68.7
2017,2017-10-08,S07,896,F00407,233,204.8,52.2
2017,2017-10-08,S07,896,F00408,250,245.2,52.2
2017,2017-10-08,S07,896,F00409,341,NA,52.2
2017,2017-10-08,S07,896,F00410,304,438.6,52.2
2017,2017-10-08,S07,896,F00411,199,105.6,52.2
2017,2017-10-08,S07,896,F00412,291,348.1,52.2
2017,2017-10-08,S07,896,F00413,296,394.8,52.2
2017,2017-10-08,S07,896,F00414,284,316.8,52.2
2017,2017-10-08,S07,896,F00415,261,283.6,52.2
2017,2017-10-08,S07,896,F00416,347,643.0,52.2
2017,2017-10-08,S07,896,F00417,410,1181.1,52.2
2017,2017-10-08,S07,896,F00418,365,764.6,52.2
2017,2017-10-08,S07,896,F00419,394,811.7,52.2
2017,2017-10-08,S08,1129,F00420,399,914.8,63.8
2017,2017-10-08,S08,1129,F00421,251,261.0,63.8
2017,2017-10-08,S08,1129,F00422,122,21.0,63.8
2017,2017-10-08,S08,1129,F00423,292,343.2,63.8
2017,2017-10-08,S08,1129,F00424,307,405.5,63.8
2017,2017-10-08,S08,1129,F00425,439,1164.8,63.8
2017,2017-10-08,S08,1129,F00426,653,4872.6,63.8
2017,2017-10-08,S08,1129,F00427,181,82.5,63.8
2017,2017-10-08,S08,1129,F00428,275,336.1,63.8
2017,2017-10-08,S08,1129,F00429,270,257.9,63.8
2017,2017-10-08,S08,1129,F00430,281,335.1,63.8
2017,2017-10-08,S08,1129,F00431,303,392.0,63.8
2017,2017-10-08,S08,1129,F00432,284,380.9,63.8
2017,2017-10-08,S08,1129,F00433,310,403.8,63.8
2017,2017-10-08,S08,1129,F00434,168,74.0,63.8
2017,2017-10-08,S08,1129,F00435,351,681.1,63.8
2017,2017-10-08,S08,1129,F00436,278,306.8,63.8
2017,2017-10-08,S08,1129,F00437,324,491.4,63.8
2017,2017-10-08,S08,1129,F00438,214,125.6,63.8
2017,2017-10-08,S08,1129,F00439,326,510.4,63.8
2018,2018-10-08,S01,1164,F00440,285,339.2,64.9
2018,2018-10-08,S01,1164,F00441,344,597.9,64.9
2018,2018-10-08,S01,1164,F00442,327,569.8,64.9
2018,2018-10-08,S01,1164,F00443,428,1338.9,64.9
2018,2018-10-08,S01,1164,F00444,225,157.3,64.9
2018,2018-10-08,S01,1164,F00445,248,191.3,64.9
2018,2018-10-08,S01,1164,F00446,360,661.6,64.9
2018,2018-10-08,S01,1164,F00447,288,NA,64.9
2018,2018-10-08,S01,1164,F00448,233,202.6,64.9
2018,2018-10-08,S01,1164,F00449,369,748.7,64.9
2018,2018-10-08,S01,1164,F00450,186,NA,64.9
2018,2018-10-08,S01,1164,F00451,313,511.9,64.9
