# bass_age_growth.csv
# Pine Bluff Reservoir - Largemouth Bass Age and Growth Data from Otolith Samples
# Columns:
#   year_collected: Year the fish was collected (integer, YYYY)
#   fish_id: Unique fish identifier (character)
#   total_length_mm: Total length at capture in millimeters
#   weight_g: Weight at capture in grams
#   age_years: Estimated age from otolith reading in years
#   length_at_age1_mm: Back-calculated total length at age 1 (mm); NA if not available
#   length_at_age2_mm: Back-calculated total length at age 2 (mm); NA if fish age < 2
#   length_at_age3_mm: Back-calculated total length at age 3 (mm); NA if fish age < 3
#   length_at_age4_mm: Back-calculated total length at age 4 (mm); NA if fish age < 4
#   length_at_age5_mm: Back-calculated total length at age 5 (mm); NA if fish age < 5
# Units: lengths in mm, weight in g, age in years
# Missing values coded as NA
year_collected,fish_id,total_length_mm,weight_g,age_years,length_at_age1_mm,length_at_age2_mm,length_at_age3_mm,length_at_age4_mm,length_at_age5_mm
2016,A0040,378,767.7,6,167,207,294,339,408
2016,A0041,420,1108.6,6,211,228,330,338,386
2016,A0042,342,644.0,4,125,249,306,316,NA
2016,A0043,169,67.1,1,147,NA,NA,NA,NA
2016,A0044,283,353.7,3,207,267,311,NA,NA
2016,A0045,413,1166.2,6,146,253,304,365,377
2016,A0046,249,220.6,2,131,273,NA,NA,NA
2016,A0047,336,548.9,4,139,274,316,NA,NA
2016,A0048,381,776.9,6,180,246,340,384,383
2016,A0049,409,994.7,4,NA,218,318,344,NA
2016,A0050,378,755.7,5,152,283,311,352,387
2016,A0051,474,1596.6,8,179,257,313,357,378
2016,A0052,313,405.6,3,186,237,312,NA,NA
2016,A0053,179,80.4,2,187,250,NA,NA,NA
2016,A0054,396,963.7,6,185,254,276,333,406
2018,A0055,434,1239.6,6,167,211,278,319,361
2018,A0056,396,843.0,6,134,214,325,349,383
2018,A0057,244,225.0,2,163,NA,NA,NA,NA
2018,A0058,419,1251.5,5,176,240,264,332,405
2018,A0059,158,50.6,1,113,NA,NA,NA,NA
2018,A0060,176,76.5,1,130,NA,NA,NA,NA
2018,A0061,408,979.2,5,145,236,312,335,NA
2018,A0062,321,472.0,4,123,254,275,332,NA
2018,A0063,280,283.2,3,167,258,312,NA,NA
2018,A0064,469,1657.9,7,181,278,354,337,371
2018,A0065,407,1045.2,5,147,269,275,364,390
2018,A0066,314,443.8,3,146,234,274,NA,NA
2018,A0067,271,271.5,3,139,236,285,NA,NA
2018,A0068,140,32.9,1,150,NA,NA,NA,NA
2018,A0069,390,797.7,5,169,263,324,354,387
2018,A0070,241,207.7,2,155,242,NA,NA,NA
2018,A0071,425,1051.0,6,161,257,275,351,385
2018,A0072,244,186.5,2,149,NA,NA,NA,NA
2018,A0073,170,61.7,1,173,NA,NA,NA,NA
2018,A0074,419,1097.5,6,148,243,301,367,417
2018,A0075,442,1435.9,7,141,223,307,355,NA
2018,A0076,489,1770.6,10,132,213,318,363,356
2018,A0077,336,528.0,4,NA,205,313,335,NA
2018,A0078,239,209.8,2,186,242,NA,NA,NA
2018,A0079,417,1080.7,6,183,201,324,346,396
2018,A0080,238,198.5,2,184,289,NA,NA,NA
2018,A0081,379,879.1,5,182,259,330,344,363
2018,A0082,321,545.2,3,187,201,315,NA,NA
2018,A0083,285,337.4,2,164,261,NA,NA,NA
2018,A0084,388,873.9,5,204,272,323,366,378
2018,A0085,316,432.3,3,148,252,303,NA,NA
2018,A0086,266,257.1,2,189,266,NA,NA,NA
2018,A0087,295,344.9,3,151,205,299,NA,NA
2018,A0088,422,1014.9,7,169,247,287,334,384
2018,A0089,319,433.5,3,145,223,297,NA,NA
2020,A0090,162,58.9,1,167,NA,NA,NA,NA
2020,A0091,359,755.5,4,146,261,293,337,NA
2020,A0092,205,124.2,2,187,243,NA,NA,NA
2020,A0093,323,516.6,3,150,233,305,NA,NA
2020,A0094,400,1032.8,6,156,237,307,325,380
2020,A0095,276,333.5,3,153,258,326,NA,NA
2020,A0096,269,312.5,2,203,243,NA,NA,NA
2020,A0097,391,837.8,5,204,229,299,336,366
2020,A0098,405,979.3,6,181,210,310,342,383
2020,A0099,361,683.7,4,178,244,NA,335,NA
2020,A0100,482,1758.4,8,188,278,262,337,371
2020,A0101,153,49.8,1,184,NA,NA,NA,NA
2020,A0102,306,449.8,3,157,275,267,NA,NA
2020,A0103,340,608.8,4,169,244,312,354,NA
2020,A0104,346,568.3,3,161,211,306,NA,NA
2020,A0105,340,598.1,3,188,260,307,NA,NA
2020,A0106,296,409.3,3,164,249,312,NA,NA
2020,A0107,259,237.7,2,NA,217,NA,NA,NA
2020,A0108,455,1430.6,9,190,220,313,356,402
2020,A0109,303,388.2,3,151,244,302,NA,NA
2020,A0110,293,385.5,3,163,253,296,NA,NA
2020,A0111,466,1689.9,8,155,253,287,359,398
2020,A0112,342,599.5,5,141,252,288,366,414
2020,A0113,151,41.3,1,154,NA,NA,NA,NA
2020,A0114,353,580.7,4,194,229,319,340,NA
2020,A0115,461,1554.5,7,182,249,NA,361,385
2020,A0116,213,123.3,2,151,245,NA,NA,NA
2020,A0117,281,312.2,3,175,253,293,NA,NA
2020,A0118,374,774.5,6,156,NA,291,336,388
2020,A0119,478,1639.1,9,179,215,308,325,365
2020,A0120,400,889.7,5,164,NA,321,358,394
2020,A0121,368,747.9,5,152,226,NA,366,388
2020,A0122,379,876.5,4,150,240,311,336,NA
2020,A0123,260,239.1,2,143,266,NA,NA,NA
2020,A0124,339,591.7,4,159,214,338,358,NA
2020,A0125,454,1328.6,7,176,244,321,349,380
2020,A0126,342,620.2,4,176,264,326,351,NA
2022,A0127,371,785.5,5,163,229,294,352,386
2022,A0128,407,1030.0,5,173,245,271,362,384
2022,A0129,359,750.9,4,148,203,295,345,NA
2022,A0130,156,49.2,1,176,NA,NA,NA,NA
2022,A0131,253,206.5,2,139,282,NA,NA,NA
2022,A0132,440,1245.1,6,187,207,266,347,378
2022,A0133,408,1058.7,6,143,221,262,366,388
2022,A0134,363,713.7,4,190,234,322,356,NA
2022,A0135,139,37.4,1,167,NA,NA,NA,NA
2022,A0136,456,1475.1,7,180,218,330,331,381
2022,A0137,455,1306.5,6,123,251,290,369,372
2022,A0138,409,962.8,6,166,251,320,365,362
2022,A0139,471,1491.5,7,151,257,NA,353,386
2022,A0140,296,338.8,3,148,255,303,NA,NA
2022,A0141,412,995.4,6,204,220,308,351,397
2022,A0142,300,372.2,3,153,216,310,NA,NA
2022,A0143,384,867.5,4,206,230,NA,329,NA
2022,A0144,498,1713.6,9,204,234,305,346,406
2022,A0145,319,517.8,3,126,255,300,NA,NA
2022,A0146,444,1202.2,8,188,254,304,322,377
2022,A0147,307,451.2,3,161,NA,332,NA,NA
2022,A0148,452,1364.7,8,178,243,NA,348,381
2022,A0149,307,471.4,3,117,241,330,NA,NA
2022,A0150,380,779.6,5,178,255,308,341,390
2022,A0151,432,1196.5,7,188,245,322,358,372
2022,A0152,405,1046.1,5,186,268,285,345,384
2022,A0153,322,531.1,4,177,246,292,350,NA
2022,A0154,397,938.0,5,126,280,281,385,393
2022,A0155,363,757.0,5,183,200,295,343,410
2022,A0156,292,395.4,3,177,256,284,NA,NA
2022,A0157,144,37.6,1,182,NA,NA,NA,NA
2022,A0158,204,117.0,2,152,NA,NA,NA,NA
2022,A0159,295,412.4,3,108,281,315,NA,NA
2022,A0160,425,1159.8,7,155,216,301,348,363
2022,A0161,333,530.2,3,158,265,321,NA,NA
2022,A0162,255,238.2,2,153,207,NA,NA,NA
2022,A0163,233,180.2,2,137,243,NA,NA,NA
2022,A0164,484,1785.9,10,113,216,280,336,353
2022,A0165,226,148.7,2,183,223,NA,NA,NA
2022,A0166,413,1038.9,7,145,NA,278,360,384
2022,A0167,330,487.0,4,190,228,264,357,NA
2022,A0168,310,427.6,3,183,231,275,NA,NA
2024,A0169,274,314.4,3,152,236,297,NA,NA
2024,A0170,422,1106.0,7,131,230,304,323,386
2024,A0171,338,580.2,3,183,239,295,NA,NA
2024,A0172,365,721.5,4,NA,252,313,350,NA
2024,A0173,368,762.4,5,174,254,284,356,396
2024,A0174,401,993.4,5,153,202,282,338,403
2024,A0175,384,759.8,5,161,212,305,371,400
2024,A0176,286,325.3,3,NA,256,312,NA,NA
2024,A0177,310,474.0,3,143,231,317,NA,NA
2024,A0178,382,922.8,5,191,259,334,360,410
2024,A0179,433,1251.2,6,142,239,319,370,380
2024,A0180,483,1616.2,8,185,212,320,354,407
2024,A0181,317,430.1,3,133,295,300,NA,NA
2024,A0182,484,1685.0,8,161,NA,296,343,364
2024,A0183,437,1293.4,6,187,NA,305,358,376
2024,A0184,494,1748.4,10,136,272,303,321,396
2024,A0185,336,592.3,5,173,207,303,NA,379
2024,A0186,310,478.5,3,127,238,271,NA,NA
2024,A0187,430,1359.4,6,NA,233,293,339,NA
2024,A0188,337,583.9,4,214,252,324,366,NA
2024,A0189,375,862.5,4,155,255,293,345,NA
2024,A0190,383,920.9,5,182,230,NA,342,384
2024,A0191,418,1041.6,6,174,244,NA,343,379
2024,A0192,433,1250.6,6,195,271,345,333,401
2024,A0193,403,899.8,5,216,242,291,336,399
2024,A0194,178,79.4,1,209,NA,NA,NA,NA
2024,A0195,411,962.9,6,153,269,334,357,379
2024,A0196,355,745.4,4,157,218,304,388,NA
2024,A0197,234,190.9,2,124,247,NA,NA,NA
2024,A0198,450,1402.3,7,120,243,300,334,412
2024,A0199,246,220.0,2,112,278,NA,NA,NA
2024,A0200,325,471.4,3,178,267,280,NA,NA
2024,A0201,230,159.3,2,169,217,NA,NA,NA
2024,A0202,458,1372.5,7,156,224,271,350,383
2024,A0203,361,744.3,4,146,231,282,354,NA
2024,A0204,309,448.8,4,144,268,307,368,NA
2024,A0205,259,238.1,2,161,254,NA,NA,NA
2024,A0206,339,513.9,4,166,273,295,359,NA
2024,A0207,366,767.7,4,179,238,330,344,NA
2024,A0208,358,740.7,3,NA,262,313,NA,NA
2024,A0209,234,181.1,2,132,271,NA,NA,NA
2024,A0210,288,378.3,3,211,247,291,NA,NA
2024,A0211,423,1210.1,6,NA,253,262,339,395
2024,A0212,354,737.5,4,150,266,306,356,NA
