gearType,year,species,tl
fyke,2011,Black Crappie,328
fyke,2011,Black Crappie,295
fyke,2011,Black Crappie,343
fyke,2011,Black Crappie,267
fyke,2011,Black Crappie,307
fyke,2011,Black Crappie,325
fyke,2011,Black Crappie,135
fyke,2011,Black Crappie,279
fyke,2011,Black Crappie,160
fyke,2011,Black Crappie,325
fyke,2011,Black Crappie,330
fyke,2011,Black Crappie,345
fyke,2011,Black Crappie,71
fyke,2012,Black Crappie,74
fyke,2012,Black Crappie,361
fyke,2012,Black Crappie,330
fyke,2012,Black Crappie,340
fyke,2012,Black Crappie,328
fyke,2012,Black Crappie,244
fyke,2012,Black Crappie,320
fyke,2012,Black Crappie,315
fyke,2012,Black Crappie,239
fyke,2012,Black Crappie,132
fyke,2012,Black Crappie,323
fyke,2012,Black Crappie,130
fyke,2012,Black Crappie,224
fyke,2012,Black Crappie,216
fyke,2012,Black Crappie,333
fyke,2012,Black Crappie,353
fyke,2012,Black Crappie,345
fyke,2012,Black Crappie,132
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,74
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,152
fyke,2013,Black Crappie,229
fyke,2013,Black Crappie,206
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,79
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,74
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,107
fyke,2013,Black Crappie,104
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,109
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,104
fyke,2013,Black Crappie,130
fyke,2013,Black Crappie,119
fyke,2013,Black Crappie,127
fyke,2013,Black Crappie,132
fyke,2013,Black Crappie,117
fyke,2013,Black Crappie,155
fyke,2013,Black Crappie,137
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,56
fyke,2013,Black Crappie,142
fyke,2013,Black Crappie,142
fyke,2013,Black Crappie,142
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,74
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,104
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,175
fyke,2013,Black Crappie,145
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,53
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,130
fyke,2013,Black Crappie,135
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,71
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,71
fyke,2013,Black Crappie,71
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,127
fyke,2013,Black Crappie,130
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,155
fyke,2013,Black Crappie,81
fyke,2013,Black Crappie,218
fyke,2013,Black Crappie,124
fyke,2013,Black Crappie,152
fyke,2013,Black Crappie,97
fyke,2013,Black Crappie,244
fyke,2013,Black Crappie,213
fyke,2013,Black Crappie,203
fyke,2013,Black Crappie,213
fyke,2013,Black Crappie,213
fyke,2013,Black Crappie,122
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,56
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,76
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,155
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,51
fyke,2013,Black Crappie,145
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,71
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,71
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,157
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,56
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,56
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,38
fyke,2013,Black Crappie,160
fyke,2013,Black Crappie,112
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,56
fyke,2013,Black Crappie,56
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,132
fyke,2013,Black Crappie,137
fyke,2013,Black Crappie,130
fyke,2013,Black Crappie,216
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,127
fyke,2013,Black Crappie,130
fyke,2013,Black Crappie,226
fyke,2013,Black Crappie,58
fyke,2013,Black Crappie,53
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,38
fyke,2013,Black Crappie,224
fyke,2013,Black Crappie,351
fyke,2013,Black Crappie,348
fyke,2013,Black Crappie,224
fyke,2013,Black Crappie,231
fyke,2013,Black Crappie,333
fyke,2013,Black Crappie,218
fyke,2013,Black Crappie,224
fyke,2013,Black Crappie,224
fyke,2013,Black Crappie,216
fyke,2013,Black Crappie,224
fyke,2013,Black Crappie,218
fyke,2013,Black Crappie,203
fyke,2013,Black Crappie,333
fyke,2013,Black Crappie,348
fyke,2013,Black Crappie,330
fyke,2013,Black Crappie,236
fyke,2013,Black Crappie,236
fyke,2013,Black Crappie,229
fyke,2013,Black Crappie,211
fyke,2013,Black Crappie,224
fyke,2013,Black Crappie,229
fyke,2013,Black Crappie,160
fyke,2013,Black Crappie,127
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,333
fyke,2013,Black Crappie,335
fyke,2013,Black Crappie,343
fyke,2013,Black Crappie,213
fyke,2013,Black Crappie,221
fyke,2013,Black Crappie,351
fyke,2013,Black Crappie,226
fyke,2013,Black Crappie,340
fyke,2013,Black Crappie,323
fyke,2013,Black Crappie,236
fyke,2013,Black Crappie,211
fyke,2013,Black Crappie,328
fyke,2013,Black Crappie,345
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,64
fyke,2013,Black Crappie,66
fyke,2013,Black Crappie,61
fyke,2013,Black Crappie,74
fyke,2013,Black Crappie,69
fyke,2013,Black Crappie,69
fyke,2012,Bluegill,246
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,36
fyke,2012,Bluegill,38
fyke,2012,Bluegill,56
fyke,2012,Bluegill,38
fyke,2012,Bluegill,33
fyke,2012,Bluegill,185
fyke,2012,Bluegill,53
fyke,2012,Bluegill,51
fyke,2012,Bluegill,46
fyke,2012,Bluegill,48
fyke,2012,Bluegill,76
fyke,2012,Bluegill,58
fyke,2012,Bluegill,58
fyke,2012,Bluegill,56
fyke,2012,Bluegill,53
fyke,2012,Bluegill,51
fyke,2012,Bluegill,74
fyke,2012,Bluegill,53
fyke,2012,Bluegill,64
fyke,2012,Bluegill,58
fyke,2012,Bluegill,30
fyke,2012,Bluegill,53
fyke,2012,Bluegill,48
fyke,2012,Bluegill,36
fyke,2012,Bluegill,51
fyke,2012,Bluegill,56
fyke,2012,Bluegill,58
fyke,2012,Bluegill,56
fyke,2012,Bluegill,64
fyke,2012,Bluegill,56
fyke,2012,Bluegill,58
fyke,2012,Bluegill,97
fyke,2012,Bluegill,58
fyke,2012,Bluegill,64
fyke,2012,Bluegill,46
fyke,2012,Bluegill,56
fyke,2012,Bluegill,46
fyke,2012,Bluegill,66
fyke,2012,Bluegill,64
fyke,2012,Bluegill,66
fyke,2012,Bluegill,84
fyke,2012,Bluegill,69
fyke,2012,Bluegill,61
fyke,2012,Bluegill,69
fyke,2012,Bluegill,61
fyke,2012,Bluegill,71
fyke,2012,Bluegill,28
fyke,2012,Bluegill,61
fyke,2012,Bluegill,64
fyke,2012,Bluegill,30
fyke,2012,Bluegill,56
fyke,2012,Bluegill,66
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,61
fyke,2012,Bluegill,53
fyke,2012,Bluegill,79
fyke,2012,Bluegill,46
fyke,2012,Bluegill,53
fyke,2012,Bluegill,69
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,53
fyke,2012,Bluegill,46
fyke,2012,Bluegill,61
fyke,2012,Bluegill,48
fyke,2012,Bluegill,69
fyke,2012,Bluegill,81
fyke,2012,Bluegill,41
fyke,2012,Bluegill,58
fyke,2012,Bluegill,64
fyke,2012,Bluegill,53
fyke,2012,Bluegill,58
fyke,2012,Bluegill,56
fyke,2012,Bluegill,41
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,46
fyke,2012,Bluegill,53
fyke,2012,Bluegill,33
fyke,2012,Bluegill,76
fyke,2012,Bluegill,51
fyke,2012,Bluegill,58
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,84
fyke,2012,Bluegill,48
fyke,2012,Bluegill,74
fyke,2012,Bluegill,46
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,69
fyke,2012,Bluegill,33
fyke,2012,Bluegill,51
fyke,2012,Bluegill,58
fyke,2012,Bluegill,43
fyke,2012,Bluegill,53
fyke,2012,Bluegill,58
fyke,2012,Bluegill,51
fyke,2012,Bluegill,66
fyke,2012,Bluegill,64
fyke,2012,Bluegill,61
fyke,2012,Bluegill,69
fyke,2012,Bluegill,56
fyke,2012,Bluegill,51
fyke,2012,Bluegill,53
fyke,2012,Bluegill,69
fyke,2012,Bluegill,46
fyke,2012,Bluegill,38
fyke,2012,Bluegill,56
fyke,2012,Bluegill,67
fyke,2012,Bluegill,61
fyke,2012,Bluegill,58
fyke,2012,Bluegill,58
fyke,2012,Bluegill,56
fyke,2012,Bluegill,64
fyke,2012,Bluegill,64
fyke,2012,Bluegill,56
fyke,2012,Bluegill,61
fyke,2012,Bluegill,69
fyke,2012,Bluegill,74
fyke,2012,Bluegill,53
fyke,2012,Bluegill,71
fyke,2012,Bluegill,53
fyke,2012,Bluegill,71
fyke,2012,Bluegill,46
fyke,2012,Bluegill,89
fyke,2012,Bluegill,53
fyke,2012,Bluegill,36
fyke,2012,Bluegill,71
fyke,2012,Bluegill,71
fyke,2012,Bluegill,53
fyke,2012,Bluegill,51
fyke,2012,Bluegill,58
fyke,2012,Bluegill,76
fyke,2012,Bluegill,71
fyke,2012,Bluegill,58
fyke,2012,Bluegill,58
fyke,2012,Bluegill,71
fyke,2012,Bluegill,58
fyke,2012,Bluegill,56
fyke,2012,Bluegill,71
fyke,2012,Bluegill,86
fyke,2012,Bluegill,58
fyke,2012,Bluegill,64
fyke,2012,Bluegill,76
fyke,2012,Bluegill,36
fyke,2012,Bluegill,53
fyke,2012,Bluegill,64
fyke,2012,Bluegill,64
fyke,2012,Bluegill,170
fyke,2012,Bluegill,234
fyke,2012,Bluegill,216
fyke,2012,Bluegill,203
fyke,2012,Bluegill,251
fyke,2012,Bluegill,221
fyke,2012,Bluegill,193
fyke,2012,Bluegill,216
fyke,2012,Bluegill,175
fyke,2012,Bluegill,213
fyke,2012,Bluegill,155
fyke,2012,Bluegill,114
fyke,2012,Bluegill,38
fyke,2012,Bluegill,36
fyke,2012,Bluegill,38
fyke,2012,Bluegill,43
fyke,2012,Bluegill,36
fyke,2012,Bluegill,33
fyke,2012,Bluegill,38
fyke,2012,Bluegill,41
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,33
fyke,2012,Bluegill,41
fyke,2012,Bluegill,36
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,36
fyke,2012,Bluegill,239
fyke,2012,Bluegill,79
fyke,2012,Bluegill,58
fyke,2012,Bluegill,97
fyke,2012,Bluegill,36
fyke,2012,Bluegill,48
fyke,2012,Bluegill,30
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,30
fyke,2012,Bluegill,51
fyke,2012,Bluegill,44
fyke,2012,Bluegill,51
fyke,2012,Bluegill,38
fyke,2012,Bluegill,41
fyke,2012,Bluegill,38
fyke,2012,Bluegill,53
fyke,2012,Bluegill,28
fyke,2012,Bluegill,53
fyke,2012,Bluegill,25
fyke,2012,Bluegill,48
fyke,2012,Bluegill,33
fyke,2012,Bluegill,58
fyke,2012,Bluegill,44
fyke,2012,Bluegill,30
fyke,2012,Bluegill,36
fyke,2012,Bluegill,48
fyke,2012,Bluegill,28
fyke,2012,Bluegill,56
fyke,2012,Bluegill,25
fyke,2012,Bluegill,58
fyke,2012,Bluegill,30
fyke,2012,Bluegill,76
fyke,2012,Bluegill,38
fyke,2012,Bluegill,61
fyke,2012,Bluegill,33
fyke,2012,Bluegill,46
fyke,2012,Bluegill,56
fyke,2012,Bluegill,64
fyke,2012,Bluegill,71
fyke,2012,Bluegill,53
fyke,2012,Bluegill,66
fyke,2012,Bluegill,58
fyke,2012,Bluegill,46
fyke,2012,Bluegill,61
fyke,2012,Bluegill,30
fyke,2012,Bluegill,64
fyke,2012,Bluegill,91
fyke,2012,Bluegill,51
fyke,2012,Bluegill,69
fyke,2012,Bluegill,74
fyke,2012,Bluegill,76
fyke,2012,Bluegill,48
fyke,2012,Bluegill,79
fyke,2012,Bluegill,58
fyke,2012,Bluegill,36
fyke,2012,Bluegill,53
fyke,2012,Bluegill,58
fyke,2012,Bluegill,43
fyke,2012,Bluegill,48
fyke,2012,Bluegill,66
fyke,2012,Bluegill,36
fyke,2012,Bluegill,61
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,33
fyke,2012,Bluegill,66
fyke,2012,Bluegill,61
fyke,2012,Bluegill,74
fyke,2012,Bluegill,48
fyke,2012,Bluegill,76
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,86
fyke,2012,Bluegill,56
fyke,2012,Bluegill,64
fyke,2012,Bluegill,69
fyke,2012,Bluegill,30
fyke,2012,Bluegill,41
fyke,2012,Bluegill,56
fyke,2012,Bluegill,43
fyke,2012,Bluegill,30
fyke,2012,Bluegill,36
fyke,2012,Bluegill,38
fyke,2012,Bluegill,23
fyke,2012,Bluegill,30
fyke,2012,Bluegill,28
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,58
fyke,2012,Bluegill,51
fyke,2012,Bluegill,25
fyke,2012,Bluegill,56
fyke,2012,Bluegill,46
fyke,2012,Bluegill,51
fyke,2012,Bluegill,38
fyke,2012,Bluegill,28
fyke,2012,Bluegill,30
fyke,2012,Bluegill,30
fyke,2012,Bluegill,43
fyke,2012,Bluegill,81
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,41
fyke,2012,Bluegill,30
fyke,2012,Bluegill,43
fyke,2012,Bluegill,38
fyke,2012,Bluegill,53
fyke,2012,Bluegill,41
fyke,2012,Bluegill,191
fyke,2012,Bluegill,269
fyke,2012,Bluegill,231
fyke,2012,Bluegill,188
fyke,2012,Bluegill,173
fyke,2012,Bluegill,119
fyke,2012,Bluegill,193
fyke,2012,Bluegill,185
fyke,2012,Bluegill,152
fyke,2012,Bluegill,175
fyke,2012,Bluegill,213
fyke,2012,Bluegill,211
fyke,2012,Bluegill,257
fyke,2012,Bluegill,226
fyke,2012,Bluegill,198
fyke,2012,Bluegill,193
fyke,2012,Bluegill,218
fyke,2012,Bluegill,244
fyke,2012,Bluegill,173
fyke,2012,Bluegill,170
fyke,2012,Bluegill,191
fyke,2012,Bluegill,183
fyke,2012,Bluegill,170
fyke,2012,Bluegill,163
fyke,2012,Bluegill,180
fyke,2012,Bluegill,160
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,130
fyke,2012,Bluegill,145
fyke,2012,Bluegill,140
fyke,2012,Bluegill,150
fyke,2012,Bluegill,155
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,33
fyke,2012,Bluegill,124
fyke,2012,Bluegill,155
fyke,2012,Bluegill,140
fyke,2012,Bluegill,224
fyke,2012,Bluegill,33
fyke,2012,Bluegill,36
fyke,2012,Bluegill,25
fyke,2012,Bluegill,36
fyke,2012,Bluegill,33
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,61
fyke,2012,Bluegill,30
fyke,2012,Bluegill,33
fyke,2012,Bluegill,41
fyke,2012,Bluegill,33
fyke,2012,Bluegill,36
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,64
fyke,2012,Bluegill,43
fyke,2012,Bluegill,36
fyke,2012,Bluegill,30
fyke,2012,Bluegill,30
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,28
fyke,2012,Bluegill,33
fyke,2012,Bluegill,36
fyke,2012,Bluegill,53
fyke,2012,Bluegill,38
fyke,2012,Bluegill,53
fyke,2012,Bluegill,74
fyke,2012,Bluegill,43
fyke,2012,Bluegill,97
fyke,2012,Bluegill,53
fyke,2012,Bluegill,64
fyke,2012,Bluegill,53
fyke,2012,Bluegill,56
fyke,2012,Bluegill,58
fyke,2012,Bluegill,53
fyke,2012,Bluegill,71
fyke,2012,Bluegill,51
fyke,2012,Bluegill,48
fyke,2012,Bluegill,43
fyke,2012,Bluegill,64
fyke,2012,Bluegill,61
fyke,2012,Bluegill,48
fyke,2012,Bluegill,61
fyke,2012,Bluegill,48
fyke,2012,Bluegill,56
fyke,2012,Bluegill,53
fyke,2012,Bluegill,48
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,46
fyke,2012,Bluegill,43
fyke,2012,Bluegill,53
fyke,2012,Bluegill,46
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,81
fyke,2012,Bluegill,48
fyke,2012,Bluegill,74
fyke,2012,Bluegill,64
fyke,2012,Bluegill,33
fyke,2012,Bluegill,56
fyke,2012,Bluegill,43
fyke,2012,Bluegill,51
fyke,2012,Bluegill,36
fyke,2012,Bluegill,46
fyke,2012,Bluegill,48
fyke,2012,Bluegill,51
fyke,2012,Bluegill,46
fyke,2012,Bluegill,56
fyke,2012,Bluegill,36
fyke,2012,Bluegill,58
fyke,2012,Bluegill,51
fyke,2012,Bluegill,36
fyke,2012,Bluegill,30
fyke,2012,Bluegill,30
fyke,2012,Bluegill,30
fyke,2012,Bluegill,33
fyke,2012,Bluegill,33
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,36
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,38
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,41
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,43
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,46
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,48
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,51
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
fyke,2012,Bluegill,53
