# walleye_creel.csv
# Lake Sandhill - Walleye Creel Survey Data
# Columns:
#   year: Survey year (integer, YYYY)
#   season: Fishing season (character: open_water or ice)
#   month: Month of interview (integer, 1-12)
#   survey_date: Date of creel clerk interview (YYYY-MM-DD)
#   angler_id: Anonymous angler identifier (character)
#   party_size: Number of anglers in the party
#   hours_fished: Total hours fished by the party during that trip
#   walleye_caught: Number of walleye caught (kept + released)
#   walleye_harvested: Number of walleye harvested (kept)
#   largest_walleye_mm: Total length of largest walleye caught in mm; NA if none caught
#   target_species: Primary species targeted (character)
#   satisfaction: Trip satisfaction (1=very dissatisfied to 5=very satisfied); NA if not answered
#   resident: Whether angler is a local resident (yes or no); NA if not answered
# Units: effort in hours, length in mm
# Missing values coded as NA
year,season,month,survey_date,angler_id,party_size,hours_fished,walleye_caught,walleye_harvested,largest_walleye_mm,target_species,satisfaction,resident
2012,open_water,6,2012-06-01,OW201206002,1,10.0,5,3,470,yellow_perch,4,yes
2012,open_water,6,2012-06-15,OW201206003,4,22.9,5,2,387,white_bass,3,yes
2012,open_water,6,2012-06-27,OW201206004,1,4.0,2,1,475,yellow_perch,5,yes
2012,open_water,6,2012-06-13,OW201206005,4,23.3,7,5,486,walleye,5,no
2012,open_water,6,2012-06-15,OW201206006,3,10.7,0,0,NA,yellow_perch,5,no
2012,open_water,6,2012-06-01,OW201206007,3,25.3,8,3,402,walleye,4,NA
2012,open_water,6,2012-06-25,OW201206008,2,14.5,6,3,455,yellow_perch,5,no
2012,open_water,6,2012-06-19,OW201206009,2,18.5,6,3,436,walleye,4,yes
2012,open_water,6,2012-06-17,OW201206010,2,11.7,1,0,500,walleye,4,no
2012,open_water,6,2012-06-27,OW201206011,2,7.0,2,1,437,walleye,3,yes
2012,open_water,6,2012-06-24,OW201206012,2,12.7,5,2,462,walleye,5,yes
2012,open_water,6,2012-06-17,OW201206013,2,6.1,3,2,432,walleye,5,no
2012,open_water,6,2012-06-22,OW201206014,2,12.4,5,2,382,yellow_perch,3,no
2012,open_water,6,2012-06-17,OW201206015,2,18.7,4,1,436,walleye,4,yes
2012,open_water,6,2012-06-01,OW201206016,2,10.5,0,0,NA,walleye,3,no
2012,open_water,6,2012-06-11,OW201206017,3,14.4,0,0,NA,white_bass,3,NA
2012,open_water,6,2012-06-17,OW201206018,2,5.5,5,2,428,yellow_perch,3,yes
2012,open_water,6,2012-06-22,OW201206019,4,27.5,1,0,462,walleye,5,yes
2012,open_water,6,2012-06-01,OW201206020,4,34.5,5,2,442,walleye,4,yes
2012,open_water,6,2012-06-16,OW201206021,3,26.6,5,3,484,walleye,3,no
2012,open_water,6,2012-06-05,OW201206022,1,5.4,4,3,426,any,3,yes
2012,open_water,6,2012-06-02,OW201206023,1,3.8,8,4,458,walleye,5,yes
2012,open_water,6,2012-06-09,OW201206024,1,8.3,3,1,300,walleye,4,no
2012,open_water,6,2012-06-11,OW201206025,1,9.0,8,3,457,yellow_perch,3,yes
2012,open_water,6,2012-06-01,OW201206026,2,13.2,1,0,441,walleye,5,yes
2012,open_water,6,2012-06-21,OW201206027,1,5.9,2,1,493,walleye,NA,yes
2012,open_water,6,2012-06-19,OW201206028,3,9.5,6,3,482,walleye,5,yes
2012,open_water,6,2012-06-07,OW201206029,3,21.7,5,3,406,walleye,5,yes
2012,open_water,7,2012-07-19,OW201207000,2,17.3,2,0,390,white_bass,2,yes
2012,open_water,7,2012-07-20,OW201207001,3,9.2,2,1,422,walleye,NA,no
2012,open_water,7,2012-07-25,OW201207002,2,11.3,2,1,417,walleye,4,NA
2012,open_water,7,2012-07-12,OW201207003,3,24.4,6,3,435,walleye,5,yes
2012,open_water,7,2012-07-09,OW201207004,1,9.7,2,1,433,walleye,3,no
2012,open_water,7,2012-07-20,OW201207005,1,7.7,2,1,366,walleye,4,no
2012,open_water,7,2012-07-18,OW201207006,1,3.4,1,0,549,yellow_perch,3,yes
2012,open_water,7,2012-07-16,OW201207007,2,12.1,0,0,NA,any,5,yes
2012,open_water,7,2012-07-22,OW201207008,3,17.9,7,2,439,walleye,3,no
2012,open_water,7,2012-07-08,OW201207009,3,26.2,0,0,NA,walleye,2,yes
2012,open_water,7,2012-07-13,OW201207010,2,16.3,4,2,392,walleye,2,yes
2012,open_water,7,2012-07-01,OW201207011,1,7.1,7,4,385,walleye,3,yes
2012,open_water,7,2012-07-04,OW201207012,1,9.0,4,2,433,walleye,4,yes
2012,open_water,7,2012-07-20,OW201207013,1,4.5,5,2,443,any,5,yes
2012,open_water,7,2012-07-11,OW201207014,1,2.6,6,2,419,yellow_perch,5,yes
2012,open_water,7,2012-07-11,OW201207015,2,12.3,3,1,388,any,5,no
2012,open_water,7,2012-07-09,OW201207016,2,5.0,2,0,420,walleye,3,no
2012,open_water,7,2012-07-18,OW201207017,2,14.8,1,0,371,white_bass,4,yes
2012,open_water,7,2012-07-22,OW201207018,1,6.2,4,1,507,walleye,4,no
2012,open_water,7,2012-07-28,OW201207019,1,2.7,3,2,417,walleye,3,yes
2012,open_water,7,2012-07-18,OW201207020,1,6.0,5,3,427,walleye,3,no
2012,open_water,7,2012-07-02,OW201207021,2,9.3,7,3,485,yellow_perch,3,yes
2012,open_water,8,2012-08-16,OW201208000,3,29.7,2,1,377,walleye,4,yes
2012,open_water,8,2012-08-06,OW201208001,2,7.3,4,1,478,walleye,4,yes
2012,open_water,8,2012-08-26,OW201208002,2,12.8,3,1,558,any,4,no
2012,open_water,8,2012-08-18,OW201208003,1,8.2,5,3,385,walleye,4,yes
2012,open_water,8,2012-08-09,OW201208004,1,8.8,3,1,371,walleye,4,NA
2012,open_water,8,2012-08-03,OW201208005,1,3.2,0,0,NA,walleye,5,yes
2012,open_water,8,2012-08-17,OW201208006,2,15.1,3,2,462,yellow_perch,5,yes
2012,open_water,8,2012-08-19,OW201208007,2,11.3,1,0,393,yellow_perch,4,yes
2012,open_water,8,2012-08-03,OW201208008,2,9.8,7,5,353,walleye,4,yes
2012,open_water,8,2012-08-07,OW201208009,2,11.9,4,2,396,walleye,4,yes
2012,open_water,8,2012-08-03,OW201208010,3,18.2,4,2,388,walleye,3,no
2012,open_water,8,2012-08-21,OW201208011,3,18.0,2,1,509,yellow_perch,2,yes
2012,open_water,8,2012-08-04,OW201208012,4,31.6,3,1,404,any,5,no
2012,open_water,8,2012-08-27,OW201208013,3,13.7,5,3,359,any,4,no
2012,open_water,8,2012-08-27,OW201208014,1,6.6,2,1,365,walleye,4,no
2012,open_water,8,2012-08-08,OW201208015,2,19.4,5,2,408,walleye,4,no
2012,open_water,8,2012-08-13,OW201208016,3,20.5,5,3,446,yellow_perch,3,yes
2012,open_water,8,2012-08-05,OW201208017,2,12.7,3,1,416,walleye,NA,yes
2012,open_water,8,2012-08-12,OW201208018,1,6.4,8,3,406,any,3,no
2012,open_water,8,2012-08-01,OW201208019,3,27.8,6,3,469,walleye,4,no
2012,open_water,8,2012-08-11,OW201208020,1,6.2,1,0,373,walleye,4,yes
2012,open_water,8,2012-08-23,OW201208021,4,27.8,4,2,529,any,NA,yes
2012,open_water,8,2012-08-01,OW201208022,2,12.4,2,0,351,white_bass,4,yes
2012,open_water,8,2012-08-25,OW201208023,2,17.6,0,0,NA,walleye,5,no
2012,open_water,8,2012-08-24,OW201208024,3,9.6,6,3,441,walleye,4,yes
2012,open_water,8,2012-08-16,OW201208025,4,37.8,3,1,412,walleye,4,yes
2012,open_water,8,2012-08-23,OW201208026,3,13.4,4,2,352,yellow_perch,4,no
2012,open_water,9,2012-09-11,OW201209000,3,6.8,4,1,452,any,5,no
2012,open_water,9,2012-09-08,OW201209001,4,30.9,5,2,389,white_bass,3,yes
2012,open_water,9,2012-09-21,OW201209002,1,6.2,3,1,469,white_bass,5,no
2012,open_water,9,2012-09-06,OW201209003,2,14.2,0,0,NA,yellow_perch,4,yes
2012,open_water,9,2012-09-20,OW201209004,2,7.2,3,2,495,walleye,5,yes
2012,open_water,9,2012-09-05,OW201209005,1,9.2,0,0,NA,walleye,4,yes
2012,open_water,9,2012-09-13,OW201209006,4,25.1,0,0,NA,walleye,5,yes
2012,open_water,9,2012-09-11,OW201209007,1,2.4,5,3,539,walleye,5,no
2012,open_water,9,2012-09-22,OW201209008,1,4.0,2,1,450,walleye,5,no
2012,open_water,9,2012-09-07,OW201209009,1,9.0,3,2,396,yellow_perch,3,yes
2012,open_water,9,2012-09-28,OW201209010,2,6.0,5,3,453,walleye,4,yes
2012,open_water,9,2012-09-26,OW201209011,3,8.7,3,1,402,walleye,2,no
2012,open_water,9,2012-09-15,OW201209012,1,8.7,7,2,448,walleye,2,yes
2012,open_water,9,2012-09-04,OW201209013,4,36.9,1,0,398,white_bass,4,yes
2012,open_water,9,2012-09-04,OW201209014,2,14.8,3,1,374,white_bass,3,yes
2012,open_water,9,2012-09-25,OW201209015,3,25.5,1,0,400,any,2,no
2012,open_water,9,2012-09-08,OW201209016,1,4.5,0,0,NA,any,4,NA
2012,open_water,9,2012-09-22,OW201209017,3,28.2,4,2,392,walleye,2,yes
2012,open_water,9,2012-09-21,OW201209018,2,5.1,1,0,300,any,NA,yes
2012,open_water,9,2012-09-01,OW201209019,1,2.5,6,3,490,walleye,3,yes
2012,open_water,9,2012-09-05,OW201209020,3,27.4,4,2,383,any,4,no
2012,open_water,9,2012-09-25,OW201209021,2,8.9,5,3,435,yellow_perch,3,no
2012,open_water,10,2012-10-09,OW201210000,2,13.5,4,2,445,any,4,yes
2012,open_water,10,2012-10-07,OW201210001,2,7.1,7,5,507,any,4,yes
2012,open_water,10,2012-10-18,OW201210002,4,10.2,4,2,408,yellow_perch,3,no
2012,open_water,10,2012-10-02,OW201210003,2,18.0,5,3,434,white_bass,4,yes
2012,open_water,10,2012-10-19,OW201210004,4,25.4,1,0,456,walleye,4,yes
2012,open_water,10,2012-10-26,OW201210005,2,4.3,3,2,383,walleye,2,yes
2012,open_water,10,2012-10-28,OW201210006,1,8.5,1,0,400,walleye,5,NA
2012,open_water,10,2012-10-07,OW201210007,2,17.1,2,0,465,walleye,4,yes
2012,open_water,10,2012-10-05,OW201210008,3,27.2,4,1,420,any,3,yes
2012,open_water,10,2012-10-25,OW201210009,2,13.0,2,1,440,walleye,3,yes
2012,open_water,10,2012-10-24,OW201210010,3,6.8,4,2,380,any,3,no
2012,open_water,10,2012-10-27,OW201210011,4,30.1,0,0,NA,walleye,3,yes
2012,open_water,10,2012-10-24,OW201210012,2,5.4,0,0,NA,walleye,3,no
2012,open_water,10,2012-10-01,OW201210013,2,17.1,3,2,425,walleye,3,no
2012,open_water,10,2012-10-04,OW201210014,3,12.4,8,4,423,any,3,yes
2012,open_water,10,2012-10-05,OW201210015,1,5.9,3,1,411,walleye,4,yes
2012,open_water,10,2012-10-21,OW201210016,4,23.0,6,3,454,any,NA,NA
2012,open_water,10,2012-10-01,OW201210017,4,32.7,6,3,483,walleye,2,yes
2012,open_water,10,2012-10-14,OW201210018,1,3.2,1,0,397,any,3,no
2012,open_water,10,2012-10-20,OW201210019,1,4.2,4,2,347,walleye,NA,NA
2012,open_water,10,2012-10-20,OW201210020,4,24.9,1,0,442,walleye,5,yes
2012,open_water,10,2012-10-24,OW201210021,2,6.0,2,1,445,walleye,4,yes
2012,open_water,10,2012-10-13,OW201210022,3,14.4,4,1,388,walleye,4,yes
2012,open_water,10,2012-10-04,OW201210023,4,21.6,2,1,493,yellow_perch,3,yes
2012,open_water,10,2012-10-23,OW201210024,3,14.5,8,4,421,walleye,4,yes
2012,open_water,10,2012-10-22,OW201210025,2,19.4,3,1,377,walleye,5,yes
2012,open_water,10,2012-10-08,OW201210026,2,9.2,4,2,418,walleye,5,yes
2012,open_water,10,2012-10-24,OW201210027,2,7.4,3,1,497,walleye,4,no
2012,ice,12,2012-12-21,IC201212000,2,9.5,0,0,NA,walleye,2,yes
2012,ice,12,2012-12-21,IC201212001,1,7.8,1,0,407,walleye,2,no
2012,ice,12,2012-12-20,IC201212002,3,7.8,1,0,403,walleye,3,no
2012,ice,12,2012-12-28,IC201212003,2,15.9,2,1,401,walleye,4,yes
2012,ice,12,2012-12-06,IC201212004,2,9.1,3,1,448,walleye,4,no
2012,ice,12,2012-12-22,IC201212005,2,7.6,4,3,398,walleye,2,yes
2012,ice,12,2012-12-24,IC201212006,1,5.1,5,4,413,walleye,2,yes
2012,ice,12,2012-12-25,IC201212007,3,11.3,3,2,395,walleye,4,yes
2012,ice,12,2012-12-10,IC201212008,3,8.4,4,2,348,walleye,3,yes
2012,ice,12,2012-12-01,IC201212009,3,11.9,2,1,389,walleye,NA,no
2012,ice,12,2012-12-02,IC201212010,2,8.3,6,3,403,walleye,4,yes
2012,ice,12,2012-12-09,IC201212011,2,11.5,4,2,376,walleye,4,no
2012,ice,12,2012-12-04,IC201212012,2,9.6,2,1,410,walleye,3,yes
2012,ice,12,2012-12-01,IC201212013,2,13.5,3,2,379,walleye,5,yes
2012,ice,1,2013-01-26,IC201201000,2,11.1,0,0,NA,walleye,3,yes
2012,ice,1,2013-01-03,IC201201001,2,4.1,0,0,NA,walleye,3,no
2012,ice,1,2013-01-11,IC201201002,1,7.4,2,1,454,walleye,2,yes
2012,ice,1,2013-01-28,IC201201003,2,14.2,5,2,441,walleye,4,no
2012,ice,1,2013-01-22,IC201201004,2,15.1,3,2,336,walleye,4,no
2012,ice,1,2013-01-12,IC201201005,2,4.6,4,2,460,walleye,2,yes
2012,ice,1,2013-01-23,IC201201006,2,11.3,3,1,392,walleye,1,no
2012,ice,1,2013-01-23,IC201201007,2,7.9,3,1,367,walleye,3,yes
2012,ice,1,2013-01-19,IC201201008,3,12.2,2,1,411,walleye,4,yes
2012,ice,1,2013-01-26,IC201201009,2,9.3,1,0,320,walleye,4,no
2012,ice,1,2013-01-15,IC201201010,1,4.3,2,1,418,walleye,4,yes
2012,ice,2,2013-02-09,IC201202000,2,9.5,5,3,485,walleye,3,no
2012,ice,2,2013-02-03,IC201202001,2,8.7,1,0,408,walleye,4,yes
2012,ice,2,2013-02-06,IC201202002,1,5.3,0,0,NA,walleye,3,no
2012,ice,2,2013-02-04,IC201202003,2,5.6,1,0,386,walleye,4,no
2012,ice,2,2013-02-24,IC201202004,2,8.8,0,0,NA,walleye,3,no
2012,ice,2,2013-02-14,IC201202005,3,11.4,3,2,311,walleye,4,yes
2012,ice,2,2013-02-16,IC201202006,2,4.4,0,0,NA,walleye,NA,yes
2012,ice,2,2013-02-10,IC201202007,2,5.0,2,1,381,walleye,3,yes
2012,ice,2,2013-02-09,IC201202008,2,13.8,3,1,371,walleye,3,no
2012,ice,3,2013-03-23,IC201203000,2,15.2,4,3,315,walleye,4,no
2012,ice,3,2013-03-14,IC201203001,1,4.6,1,0,339,walleye,5,no
2012,ice,3,2013-03-05,IC201203002,2,12.1,3,2,363,walleye,4,yes
2012,ice,3,2013-03-18,IC201203003,2,11.4,6,3,482,walleye,3,yes
2012,ice,3,2013-03-02,IC201203004,2,14.4,2,1,366,walleye,4,yes
2012,ice,3,2013-03-06,IC201203005,2,6.3,1,0,348,walleye,5,no
2012,ice,3,2013-03-15,IC201203006,2,15.3,2,1,342,walleye,4,no
2012,ice,3,2013-03-17,IC201203007,2,14.9,3,2,463,walleye,4,yes
2012,ice,3,2013-03-27,IC201203008,3,9.5,5,2,376,walleye,4,no
2012,ice,3,2013-03-05,IC201203009,3,8.6,3,2,389,walleye,5,no
2012,ice,3,2013-03-01,IC201203010,2,9.3,5,4,412,walleye,3,yes
2012,ice,3,2013-03-09,IC201203011,2,12.5,4,2,425,walleye,2,yes
2012,ice,3,2013-03-21,IC201203012,1,5.5,4,2,395,walleye,4,yes
2012,ice,3,2013-03-19,IC201203013,1,2.6,3,1,392,walleye,4,yes
2012,ice,3,2013-03-02,IC201203014,2,10.8,2,1,461,walleye,4,NA
2012,ice,3,2013-03-14,IC201203015,3,21.7,1,0,471,walleye,NA,no
2012,ice,3,2013-03-16,IC201203016,1,3.4,1,0,330,walleye,3,NA
2012,ice,3,2013-03-13,IC201203017,3,6.8,1,0,399,walleye,2,yes
2012,ice,3,2013-03-19,IC201203018,2,11.8,3,2,384,walleye,NA,no
2013,open_water,5,2013-05-25,OW201305000,2,11.6,3,1,407,any,3,yes
2013,open_water,5,2013-05-08,OW201305001,2,13.2,1,0,445,any,4,yes
2013,open_water,5,2013-05-20,OW201305002,1,5.1,5,2,386,walleye,4,no
2013,open_water,5,2013-05-25,OW201305003,1,2.3,1,0,501,any,3,no
2013,open_water,5,2013-05-09,OW201305004,3,25.6,2,1,434,yellow_perch,5,yes
2013,open_water,5,2013-05-08,OW201305005,2,14.2,3,2,465,yellow_perch,3,yes
2013,open_water,5,2013-05-19,OW201305006,2,10.1,2,1,446,yellow_perch,3,yes
2013,open_water,5,2013-05-10,OW201305007,3,17.9,4,2,460,walleye,4,yes
2013,open_water,5,2013-05-14,OW201305008,3,10.0,3,1,372,any,2,yes
2013,open_water,5,2013-05-08,OW201305009,4,19.3,3,1,470,white_bass,3,yes
2013,open_water,5,2013-05-20,OW201305010,4,15.7,2,1,493,yellow_perch,NA,no
2013,open_water,5,2013-05-11,OW201305011,4,29.4,5,2,475,any,4,no
2013,open_water,5,2013-05-03,OW201305012,4,26.3,3,1,413,walleye,NA,no
2013,open_water,5,2013-05-05,OW201305013,1,5.2,3,1,353,walleye,3,yes
2013,open_water,5,2013-05-14,OW201305014,1,4.0,2,1,410,walleye,4,no
2013,open_water,5,2013-05-25,OW201305015,2,19.0,3,2,431,walleye,4,no
2013,open_water,5,2013-05-07,OW201305016,3,19.3,3,1,399,walleye,3,yes
2013,open_water,5,2013-05-01,OW201305017,2,14.4,8,3,403,yellow_perch,5,no
2013,open_water,6,2013-06-17,OW201306000,2,14.7,3,1,502,walleye,NA,no
2013,open_water,6,2013-06-19,OW201306001,2,18.2,4,2,442,any,3,yes
2013,open_water,6,2013-06-14,OW201306002,3,27.0,2,0,480,walleye,5,yes
2013,open_water,6,2013-06-19,OW201306003,1,6.4,4,2,405,any,2,no
2013,open_water,6,2013-06-10,OW201306004,2,12.7,7,4,486,yellow_perch,5,no
2013,open_water,6,2013-06-13,OW201306005,1,2.1,2,1,445,walleye,4,yes
2013,open_water,6,2013-06-28,OW201306006,1,9.3,6,2,410,walleye,3,yes
2013,open_water,6,2013-06-28,OW201306007,1,8.7,3,2,458,walleye,2,yes
2013,open_water,6,2013-06-11,OW201306008,3,8.3,6,3,400,walleye,4,yes
2013,open_water,6,2013-06-21,OW201306009,1,5.8,5,3,411,walleye,3,yes
2013,open_water,6,2013-06-26,OW201306010,1,2.9,2,0,451,walleye,NA,yes
2013,open_water,6,2013-06-16,OW201306011,4,11.8,5,2,402,white_bass,5,no
2013,open_water,6,2013-06-24,OW201306012,1,4.5,7,3,458,any,3,no
2013,open_water,6,2013-06-11,OW201306013,1,3.7,6,3,355,walleye,3,yes
2013,open_water,6,2013-06-02,OW201306014,1,6.3,10,4,411,walleye,NA,yes
2013,open_water,6,2013-06-06,OW201306015,4,29.0,5,3,353,walleye,3,yes
2013,open_water,6,2013-06-22,OW201306016,3,8.3,1,0,385,yellow_perch,5,no
2013,open_water,6,2013-06-22,OW201306017,2,13.9,9,6,376,white_bass,4,no
2013,open_water,6,2013-06-24,OW201306018,2,15.4,7,3,486,any,4,no
2013,open_water,6,2013-06-16,OW201306019,3,25.6,8,5,443,walleye,4,yes
2013,open_water,6,2013-06-10,OW201306020,2,9.6,9,6,355,any,3,yes
2013,open_water,6,2013-06-06,OW201306021,2,7.6,2,0,358,any,3,NA
2013,open_water,6,2013-06-28,OW201306022,2,10.6,5,3,375,any,3,yes
2013,open_water,6,2013-06-21,OW201306023,1,5.3,3,1,389,any,3,no
2013,open_water,6,2013-06-07,OW201306024,1,9.6,1,0,467,walleye,5,yes
2013,open_water,6,2013-06-13,OW201306025,1,2.6,5,3,469,walleye,5,yes
2013,open_water,6,2013-06-03,OW201306026,2,14.5,2,1,458,walleye,4,no
2013,open_water,6,2013-06-05,OW201306027,2,17.5,3,1,426,any,4,yes
2013,open_water,7,2013-07-18,OW201307000,2,16.8,0,0,NA,walleye,5,no
2013,open_water,7,2013-07-10,OW201307001,2,11.6,4,2,391,any,4,yes
2013,open_water,7,2013-07-17,OW201307002,2,6.7,4,2,513,walleye,4,yes
2013,open_water,7,2013-07-21,OW201307003,1,2.1,5,2,465,walleye,4,yes
2013,open_water,7,2013-07-02,OW201307004,4,9.5,3,2,523,walleye,3,yes
2013,open_water,7,2013-07-08,OW201307005,2,15.4,1,0,452,white_bass,3,yes
2013,open_water,7,2013-07-22,OW201307006,1,4.9,6,4,382,any,5,yes
2013,open_water,7,2013-07-26,OW201307007,3,11.4,4,3,434,walleye,3,NA
2013,open_water,7,2013-07-12,OW201307008,3,29.5,11,6,393,white_bass,4,NA
2013,open_water,7,2013-07-06,OW201307009,3,26.1,4,1,404,white_bass,4,yes
2013,open_water,7,2013-07-10,OW201307010,2,5.5,2,1,421,white_bass,5,no
2013,open_water,7,2013-07-25,OW201307011,2,5.4,11,7,486,walleye,4,no
2013,open_water,7,2013-07-22,OW201307012,1,4.9,0,0,NA,walleye,4,no
2013,open_water,7,2013-07-16,OW201307013,2,13.5,4,1,417,walleye,4,yes
2013,open_water,7,2013-07-26,OW201307014,2,7.4,2,1,484,walleye,5,no
2013,open_water,7,2013-07-24,OW201307015,3,22.0,2,1,454,walleye,4,no
2013,open_water,7,2013-07-19,OW201307016,4,30.3,4,2,367,white_bass,4,no
2013,open_water,7,2013-07-20,OW201307017,3,8.7,9,6,427,walleye,4,no
2013,open_water,7,2013-07-17,OW201307018,2,5.8,1,0,331,walleye,4,yes
2013,open_water,7,2013-07-06,OW201307019,1,6.3,2,1,407,walleye,2,no
2013,open_water,8,2013-08-25,OW201308000,2,14.7,5,3,481,walleye,3,yes
2013,open_water,8,2013-08-16,OW201308001,2,15.8,4,2,444,yellow_perch,3,yes
2013,open_water,8,2013-08-16,OW201308002,2,13.4,6,3,413,yellow_perch,2,no
2013,open_water,8,2013-08-03,OW201308003,2,8.4,0,0,NA,white_bass,3,no
2013,open_water,8,2013-08-23,OW201308004,1,6.3,5,2,472,walleye,2,no
2013,open_water,8,2013-08-06,OW201308005,4,9.0,6,2,372,walleye,3,yes
2013,open_water,8,2013-08-09,OW201308006,1,4.0,2,1,544,walleye,3,yes
2013,open_water,8,2013-08-09,OW201308007,2,5.2,4,2,478,yellow_perch,4,no
2013,open_water,8,2013-08-17,OW201308008,3,13.5,6,4,411,walleye,3,yes
2013,open_water,8,2013-08-02,OW201308009,1,3.7,8,3,412,any,4,no
2013,open_water,8,2013-08-24,OW201308010,2,19.4,2,1,393,white_bass,NA,yes
2013,open_water,8,2013-08-14,OW201308011,2,9.7,9,4,445,walleye,2,yes
2013,open_water,8,2013-08-15,OW201308012,3,18.9,0,0,NA,walleye,4,no
2013,open_water,8,2013-08-10,OW201308013,1,2.6,7,4,542,yellow_perch,4,NA
2013,open_water,8,2013-08-06,OW201308014,4,14.0,5,3,391,white_bass,4,yes
2013,open_water,8,2013-08-14,OW201308015,3,6.9,2,1,556,walleye,4,no
2013,open_water,8,2013-08-10,OW201308016,1,8.6,3,1,410,walleye,3,yes
2013,open_water,8,2013-08-08,OW201308017,3,14.5,3,2,419,yellow_perch,4,no
2013,open_water,8,2013-08-01,OW201308018,1,2.0,0,0,NA,walleye,4,yes
2013,open_water,8,2013-08-28,OW201308019,2,4.8,2,1,466,walleye,4,no
2013,open_water,8,2013-08-11,OW201308020,2,4.8,4,2,401,yellow_perch,4,yes
2013,open_water,8,2013-08-17,OW201308021,4,16.9,3,2,368,walleye,3,NA
2013,open_water,8,2013-08-22,OW201308022,2,13.8,0,0,NA,any,3,yes
2013,open_water,8,2013-08-24,OW201308023,3,25.5,4,1,300,white_bass,3,yes
2013,open_water,8,2013-08-08,OW201308024,2,10.1,3,1,432,walleye,4,yes
2013,open_water,8,2013-08-28,OW201308025,3,10.9,4,2,405,walleye,4,no
2013,open_water,9,2013-09-01,OW201309000,3,27.6,7,4,547,walleye,3,yes
2013,open_water,9,2013-09-23,OW201309001,4,21.2,4,1,464,any,3,no
2013,open_water,9,2013-09-02,OW201309002,1,5.1,7,4,386,white_bass,5,yes
2013,open_water,9,2013-09-26,OW201309003,2,13.9,2,1,360,walleye,5,yes
2013,open_water,9,2013-09-18,OW201309004,1,7.9,3,2,486,walleye,3,yes
2013,open_water,9,2013-09-20,OW201309005,1,8.6,2,1,470,walleye,4,yes
2013,open_water,9,2013-09-13,OW201309006,3,10.6,3,1,365,yellow_perch,4,yes
2013,open_water,9,2013-09-18,OW201309007,2,6.4,5,3,410,walleye,3,yes
2013,open_water,9,2013-09-26,OW201309008,2,9.6,6,2,370,walleye,3,yes
2013,open_water,9,2013-09-09,OW201309009,3,7.2,6,3,518,walleye,4,no
2013,open_water,9,2013-09-09,OW201309010,3,11.4,5,3,488,white_bass,4,yes
2013,open_water,9,2013-09-11,OW201309011,2,6.4,2,1,466,walleye,3,yes
2013,open_water,9,2013-09-02,OW201309012,1,3.5,5,2,422,yellow_perch,NA,no
